(Millions),Fair Value Measurements Using Inputs Considered as,Fair Value Measurements Using Inputs Considered as,Fair Value Measurements Using Inputs Considered as,Fair Value Measurements Using Inputs Considered as,Fair Value Measurements Using Inputs Considered as,Fair Value Measurements Using Inputs Considered as,Fair Value Measurements Using Inputs Considered as,,Fair Value at,Fair Value at,Fair Value at,
(Millions),,Level 1,,,Level 2,,Level3,,,,"Dec.31,",
Asset Class,2018,,2017,2018,,2017,2018,2017,,2018,,2017
Equities,$,,659,,$,,,,,,$,
Growth equities,$ 460 446,,,$,248,289,$,$,,$,708,948
Value equities Core equities,,,597,,42,43,,,,,488,640
,,55,,62,742,790,,5,4,,802,856
"Equities, valued at net asset value*",,,,,,,,,,,16,21
Total Equities,$,961,"$ 1,318",$,"1,032 $","1,122",$,5 s,4,"$ 2,014",,"$2,465"
Fixed Income,,,,,,,,,,,,
Domestic government,$,334,$ 362,$,351 $,256,$,5 $,4,$,690 $,622
Foreign government,,150,168,,321,338,,,,,471,506
Corporate debt securities,,56,63,,993,"1,072",9,,10,"1,058",,"1,145"
"Fixed income securities, valued at net asset value*",,,,,,,,,,,961,976
Total Fixed Income,$ 540,,$ 593,$,"1,665 $","1,666",$ 14,$,14,"$3,180",,$3.249
Private Equity Real estate,$,,,,,,,,,,,
,,5,$ 36,$,75 $,74,$,4 $,3,$,84 $,113
"Real estate, valued at net asset value*",,,,,,,,,,,37,36
Partnership investments*,,,,,,,,,,,89,68
Total Private Equity,$,5,$,36 $,75 $,74,$,4 $,3,$,210 $,217
Absolute Return Derivatives,,,,,,,,,,,,
Insurance,$,1,$,$,1 $,2,$,$,,$,2 $,2
Other,,,,,,,496,8,519,,496,519
"Other, valued at net asset value*",,,,,33,,,,7,,41,7
Hedge funds*,,,,,,,,,,,,1
Total Absolute Return,$,1,,,,,,,,,186,194
,,,$,$,34 $,2,$ 504,$,526,$,725 $,723
Cash and Cash Equivalents Cash and cash equivalents,$,71,$,,,,,,,,,
"Cash and cash equivalents, valued at net asset value*",,,,67 $,22 $,34,$,$,,$,93 $,101
Total Cash and Cash Equivalents,$,71,$,67 $,22,34,s,$,,$,1 94,3
Total,$,"1,578",$ 2.014,$,"$ 2,828 $","2,898",$ 527,$,547,"$ 6,223",$ $,104 6.758
Other items to reconcile to fair value of plan assets,,,,,,,,,,$,(53) $,(21)
Fair value of plan assets,,,,,,,,,,"$ 6,170",$,"6,737"
