Asset Class,Fair Value Measurements Using Inputs Considered as Level 1,,Fair Value Measurements Using Inputs Considered as Level 2,,Fair Value Measurements Using Inputs Considered as Level 3,,Fair Value at Dec. 31
Equities,$ 460,,$ 248,,$ —,,"$ —,$ 708"
Equities,$ 446,,$ 42,,$ —,,"$ —,$ 488"
Equities,$ 55,,$ 742,,$ 5,,"$ 5,$ 802"
Equities,$ 16,,$ 4,,$ —,,"$ —,$ 21"
Equities,$ 961,,"$ 1,032",,$ 5,,"$ 5,$ 2,014"
Fixed Income,$ 334,,$ 351,,$ 5,,"$ 5,$ 690"
Fixed Income,$ 150,,$ 321,,$ —,,"$ —,$ 471"
Fixed Income,$ 56,,$ 993,,$ 9,,"$ 9,$ 1,058"
Fixed Income,$ 14,,$ 14,,$ —,,"$ —,$ 961"
Fixed Income,$ 540,,"$ 1,665",,$ 14,,"$ 14,$ 3,180"
Private Equity,$ 5,,$ 75,,$ 4,,"$ 4,$ 84"
Private Equity,$ 36,,$ 74,,$ 3,,"$ 3,$ 37"
Private Equity,$ —,,$ —,,$ 89,,"$ 89,$ 68"
Private Equity,$ 5,,$ 75,,$ 4,,"$ 4,$ 210"
Absolute Return,$ 1,,$ 1,,$ —,,"$ —,$ 2"
Absolute Return,$ —,,$ —,,$ 496,,"$ 496,$ 496"
Absolute Return,$ —,,$ 33,,$ 8,,"$ 8,$ 7"
Absolute Return,$ —,,$ —,,$ —,,"$ —,$ 1"
Absolute Return,$ —,,$ —,,$ 186,,"$ 186,$ 194"
Absolute Return,$ 1,,$ 34,,$ 504,,"$ 504,$ 725"
Cash and Cash Equivalents,$ 71,,$ 22,,$ —,,"$ —,$ 93"
Cash and Cash Equivalents,$ 71,,$ 22,,$ —,,"$ —,$ 93"
Cash and Cash Equivalents,$ 71,,$ 22,,$ —,,"$ —,$ 94"
Total,"$ 1,578",,"$ 2,014",,$ 527,,"$ 6,223"
Other items to reconcile to fair value of plan assets,$ (53),,$ —,,$ —,,$ —
Fair value of plan assets,"$ 6,170",,"$ 6,737",,$ —,,$ —
