Net revenues,Net revenues,22Q1,22Q4,23Q1,YoY Change
,Mobile games,"1,358","1,146","1,132",-17%
,Value-added services,2.052,2.350,"2,156",5%
,Advertising,"1,041","1,512",1.272,22%
,IP derivatives and others (formerly known as E-commerce and others),603,"1,134",510,-15%
Total net revenues,Total net revenues,"5,054","6,142","5,070",0%
Cost of revenues,Cost of revenues,"-4,247","-4,893","-3,966",-7%
Gross profit,Gross profit,807,"1,250","1,104",37%
,Sales and marketing expenses,"-1,254","-1,266",-880,-30%
,General and administrative expenses,-535,-817,-572,7%
,Research and development expenses,"-1,009","-1,494","-1,027",
,,"-2,798","-3,577","-2,479",2%
Total operating expenses Loss from operations,Total operating expenses Loss from operations,"-1,991","-2,327","-1,375",-11% -31%
,"Investment (loss)/income, net",-626,-167,286,-146%
,Interest income,34,108,146,326%
,Interest expense,-62,-64,-58,-8%
,Exchange (losses)/gains,-6,65,-8,23%
,Debt extinguishment gain,339,843,336,-1%
"Others, net",,58,65,75,25%
Loss before income tax,Loss before income tax,"-2,254","-1,477",-598,
Income tax,Income tax,-30,-20,-32,-73%
Net loss,Net loss,"-2,284","-1,497",,7%
Adjusted net loss,Adjusted net loss,"-1,655","-1,314","-630 -1,031",-72% -38%
