Assets,Assets,"Dec 31, 2022","March 31, 2023"
,Cash and cash equivalents,"10,173","10,218"
,Time deposits,"4,768",
,,,"6,119"
,Restricted Cash,15,15
,"Accounts receivable, net","1,329","1,273"
,Prepayments and other current assets,3.545,"3,290"
,Short-term investments,"4,623","3,049"
,Total current assets,"24,453","23,964"
,"Property and equipment, net","1,227","1,047"
,"Production cost, net","1,930","1,971"
,"Intangible assets, net",4.327,"4,074"
,Goodwill,"2,725","2,725"
,"Long-term investments, net","5,651","5,717"
,Other long-term assets,"1.518 17,378","1,479"
,Total non-current assets Total assets,Total non-current assets Total assets,"17,013"
,,"41,831 40,977",
Liabilities,Liabilities,,
,Accounts payable,"4,292","4,400"
,Salary and welfare payables,"1,402",837
,Taxes payable,316,274
,Short-term loan and current portion of long-term debt,6.621,6.852
,Deferred revenue,2.819,"2,730"
,Accrued liabilities and other payables,"1,644","1,607"
Total current liabilities,"17,094",,
Long-term debt,"8,683","16,700 5,958",
Other long-term liabities,814,731,
Total non-current liabilities,"9,497","6,689",
Total liabilities,"26,591","23,389",
Total Bilibili Inc.'s shareholders'equity Noncontrolling interests,Total Bilibili Inc.'s shareholders'equity Noncontrolling interests,"15,238 17,588",
Total shareholders' equity,Total shareholders' equity,"2 15,240 17,588",
Total liabilities and shareholders' equity,Total liabilities and shareholders' equity,"41,831 40,977",
