Liabilities,Accounts payable,Salary and welfare payables,Taxes payable,Short-term loan and current portion of long-term debt,Deferred revenue,Accrued liabilities and other payables,Total current liabilities,Long-term debt,Other long-term liabilities
"Dec 31, 2022","March 31, 2023",,,,,,,,
Assets,,,,,,,,,
Cash and cash equivalents,"10,173,10,218",,,,,,,,
Time deposits,"4,768,6,119",,,,,,,,
Restricted Cash,"15,15",,,,,,,,
"Accounts receivable, net","1,329,1,273",,,,,,,,
Prepayments and other current assets,"3,545,3,290",,,,,,,,
Short-term investments,"4,623,3,049",,,,,,,,
Total current assets,"24,453,23,964",,,,,,,,
"Property and equipment, net","1,227,1,047",,,,,,,,
Total current assets    24,453    23,964,,,,,,,
Property and equipment,net    1,"227    1,047",,,,,,,
Production cost,net    1,"930    1,971",,,,,,,
Intangible assets,net    4,"327    4,074",,,,,,,
Goodwill    2,725    2,725,,,,,,,
Long-term investments,net    5,"651    5,717",,,,,,,
Other long-term assets    1,518    1,479,,,,,,,
Total non-current assets    17,378    17,013,,,,,,,
Total assets    41,831    40,977,,,,,,,
Liabilities,,,,,,,,,
Accounts payable,"4,292",,"4,400",,,,,,
Salary and welfare payables,"1,402",,837,,,,,,
Taxes payable,316,,274,,,,,,
Short-term loan and current portion of long-term debt,"6,621",,"6,852",,,,,,
Deferred revenue,"2,819",,"2,730",,,,,,
Accrued liabilities and other payables,"1,644",,"1,607",,,,,,
Total current liabilities,"17,094",,"16,700",,,,,,
Long-term debt,"8,683",,"5,958",,,,,,
Other long-term liabilities,814,,731,,,,,,
Long-term debt\t8,683\t5,958,,,,,,,
Other long-term liabilities\t814\t731,,,,,,,,,
Total non-current liabilities\t9,497\t6,689,,,,,,,
Total liabilities\t26,591\t23,389,,,,,,,
Total Bilibili Inc.'s shareholders' equity\t15,238\t17,588,,,,,,,
Noncontrolling interests\t2\t-,,,,,,,,,
Total shareholders' equity\t15,240\t17,588,,,,,,,
Total liabilities and shareholders' equity\t41,831\t40,977,,,,,,,
