```tsv
Inferred Resources	Mt	%Ash	%VM	%S
40	12.6	25.1	0.54
15	13.4	24.5	0.59
424	11.4	20.2	0.75
147	11.9	18.8	0.49
40	11.7	18.6	0.83
116	10.3	17.7	0.76
22	9.9	17.1	0.65
779	6.6	29.8	0.43
222	7.2	29.1	0.36
11	9.9	20.2	0.35
71	10.4	15.7	0.40
108	9.5	15.2	0.35
59	8.0	24.1	0.36
563	10.0	20.4	0.52
504	10.0	15.3	0.68
16	8.5	13.9	0.59
71	10.0	7.2	0.67
13	9.6	15.0	0.42
149	9.2	20.0	0.52
504	10.0	15.3	0.68
16	8.5	13.9	0.59
71	10.0	7.2	0.67
13	9.6	15.0	0.42
149	9.2	20.0	0.52
25	12.4	19.8	0.49
1,686	9.9	19.8	0.52
1,637	10.2	15.7	0.66
51	8.4	13.7	0.59
71	10.0	7.2	0.67
23	9.3	15.2	0.41
1,313	8.9	20.8	0.52
25	12.4	19.8	0.49
1,686	9.9	19.8	0.52
1,638	10.2	15.7	0.66
51	8.4	13.7	0.59
71	10.0	7.2	0.67
23	9.3	15.2	0.41
1,306	8.9	20.8	0.52
Total Resources	Mt	%Ash	%VM	%S
820	9.1	22.8	0.53
1,002	9.8	21.9	0.53
1,968	10.5	19.4	0.64
681	12.1	20.7	0.54
932	10.8	17.6	0.66
465	9.8	17.6	0.70
42	9.7	17.2	0.69
1,642	6.0	29.7	0.43
222	7.2	29.1	0.36
137	8.1	20.8	0.36
391	10.0	14.0	0.32
298	10.0	13.7	0.31
150	8.0	24.0	0.36
1,686	9.9	19.8	0.52
1,637	10.2	15.7	0.66
51	8.4	13.7	0.59
71	10.0	7.2	0.67
23	9.3	15.2	0.41
1,313	8.9	20.8	0.52
838	9.1	22.8	0.53
1,010	9.8	21.9	0.53
1,990	10.5	19.4	0.63
695	12.1	20.7	0.54
947	10.8	17.6	0.66
465	9.8	17.6	0.70
42	9.7	17.2	0.69
1,657	6.0	29.7	0.43
222	7.2	29.1	0.36
59	10.0	20.5	0.30
85	7.0	20.9	0.40
398	10.0	14.0	0.32
298	10.0	13.7	0.31
157	8.0	24.0	0.36
Total Resources	Mt	%Ash	%VM	%S
25	12.4	19.8	0.49
1,686	9.9	19.8	0.52
1,638	10.2	15.7	0.66
51	8.4	13.7	0.59
71	10.0	7.2	0.67
23	9.3	15.2	0.41
1,306	8.9	20.8	0.52
As at 30 June 2020	BHP interest %	50
As at 30 June 2020	BHP interest %	80
```
