```csv
Principal factor,Method of calculation
"Change in sales prices","Change in average realised price for each operation from the prior period to the current period, multiplied by current period sales volumes."
"Price-linked costs","Change in price-linked costs (mainly royalties) for each operation from the prior period to the current period, multiplied by current period sales volumes."
"Change in volumes","Change in sales volumes for each operation multiplied by the prior year average realised price less variable unit cost."
"Controllable cash costs","Total of operating cash costs and exploration and business development costs."
"Operating cash costs","Change in total costs, other than price-linked costs, exchange rates, inflation on costs, fuel and energy costs, non-cash costs and one-off items as defined below for each operation from the prior period to the current period."
"Exploration and business development","Exploration and business development expense in the current period minus exploration and business development expense in the prior period."
"Exchange rates","Change in exchange rate multiplied by current period local currency revenue and expenses."
"Inflation on costs","Change in inflation rate applied to expenses, other than depreciation and amortisation, price-linked costs, exploration and business development expenses, expenses in ceased and sold operations and expenses in new and acquired operations."
"Fuel and energy","Fuel and energy expense in the current period minus fuel and energy expense in the prior period."
"Non-cash","Change in net impact of capitalisation and depletion of deferred stripping from the prior period to the current period."
"One-off items","Change in costs exceeding a pre-determined threshold associated with an unexpected event that had not occurred in the last two years and is not reasonably likely to occur within the next two years."
"Asset sales","Profit/(loss) on the sale of assets or operations in the current period minus profit/(loss) on sale of assets or operations in the prior period."
"Ceased and sold operations","Underlying EBITDA for operations that ceased or were sold in the current period minus Underlying EBITDA for operations that ceased or were sold in the prior period."
"Share of profit/(loss) from equity accounted investments","Share of profit/(loss) from equity accounted investments for the current period minus share of profit/(loss) from equity accounted investments in the prior period."
"Other","Variances not explained by the above factors."
```
