```tsv
Year ended 30 June 2020	Revenue(4)	Underlying EBITDA	D&A	Underlying EBIT
Australia Production Unit(1)	361	253	197	56
Bass Strait	1,102	761	449	312
North West Shelf	1,076	731	260	471
Atlantis	561	431	175	256
Shenzi	277	174	139	35
Mad Dog	216	164	64	100
Trinidad/Tobago	191	92	46	46
Algeria	159	111	12	99
Exploration	-	(394)	41	(435)
Other(2)	104	(111)	77	(188)
Total Petroleum from Group production	4,047	2,212	1,460	752
Third-party products	39	(2)	-	(2)
Total Petroleum	4,086	2,210	1,460	750
Adjustment for equity accounted investments(3)	(16)	(3)	(3)	-
Total Petroleum statutory result	4,070	2,207	1,457	750
```
