```csv
"Executive Director","Held at 1 July 2020","Purchased","Received as remuneration","Sold","Held at 30 June 2021","Held at 1 July 2020","Purchased","Received as remuneration","Sold","Held at 30 June 2021"
"Mike Henry","120,069","-","146,072","67,162","198,979","196,262","-","-","-","196,262"
"Other Executive KMP","Edgar Basto","117,279","42","33,828","16,260","134,889","-","-","-","-"
"Peter Beaven","261,287","-","136,244","65,424","332,107","-","-","-","-","-"
"David Lamont","6,345","-","-","-","6,345","-","-","-","-","-"
"Daniel Malchuk","194,608","-","139,312","56,934","276,986","-","-","-","-","-"
"Geraldine Slattery","71,520","-","34,349","8,544","97,325","-","-","-","-","-"
"Ragnar Udd","105,418","-","-","-","105,418","-","-","-","-","-"
"Non-executive Directors","Terry Bowen","11,000","-","-","-","11,000","-","-","-","-"
"Malcolm Broomhead","19,000","-","-","-","19,000","-","-","-","-","-"
"Xiaoqun Clever","5,000","2,000","-","-","7,000","-","-","-","-","-"
"Ian Cockerill","8,759","-","-","-","8,759","3,500","-","-","-","3,500"
"Anita Frew","-","-","-","-","-","15,000","-","-","-","15,000"
"Gary Goldberg","10,000","-","-","-","10,000","-","-","-","-","-"
"Susan Kilsby","-","-","-","-","-","6,900","-","-","-","6,900"
"Ken MacKenzie","52,351","-","-","-","52,351","-","-","-","-","-"
"Lindsay Maxsted","18,000","-","-","-","18,000","-","-","-","-","-"
"John Mogford","-","-","-","-","-","12,000","1,938","-","-","13,938"
"Christine O'Reilly","7,000","-","-","-","7,000","-","-","-","-","-"
"Shriti Vadera","-","-","-","-","-","25,000","-","-","-","25,000"
"Dion Weisler","1,544","-","-","-","1,544","-","-","-","-","-"
```
