```csv
"2021 US$M","2021 US$M","2021 US$M","2020 US$M","2020 US$M","2020 US$M","2019 US$M","2019 US$M","2019 US$M"
"Income tax effect of:","Income tax effect of:","Income tax effect of:","Income tax effect of:","Income tax effect of:","Income tax effect of:","Income tax effect of:","Income tax effect of:","Income tax effect of:"
"Items that may be reclassified subsequently to the income statement:","Items that may be reclassified subsequently to the income statement:","Items that may be reclassified subsequently to the income statement:","Items that may be reclassified subsequently to the income statement:","Items that may be reclassified subsequently to the income statement:","Items that may be reclassified subsequently to the income statement:","Items that may be reclassified subsequently to the income statement:","Items that may be reclassified subsequently to the income statement:","Items that may be reclassified subsequently to the income statement:"
"Hedges:","Hedges:","Hedges:","Hedges:","Hedges:","Hedges:","Hedges:","Hedges:","Hedges:"
"Gains/(losses) taken to equity","Gains/(losses) taken to equity","Gains/(losses) taken to equity","Gains/(losses) taken to equity","Gains/(losses) taken to equity","Gains/(losses) taken to equity","Gains/(losses) taken to equity","Gains/(losses) taken to equity","Gains/(losses) taken to equity"
"(Gains)/losses transferred to the income statement","(Gains)/losses transferred to the income statement","(Gains)/losses transferred to the income statement","(Gains)/losses transferred to the income statement","(Gains)/losses transferred to the income statement","(Gains)/losses transferred to the income statement","(Gains)/losses transferred to the income statement","(Gains)/losses transferred to the income statement","(Gains)/losses transferred to the income statement"
"Others","Others","Others","Others","Others","Others","Others","Others","Others"
"Income tax (charge)/credit relating to items that may be reclassified subsequently to the income statement","Income tax (charge)/credit relating to items that may be reclassified subsequently to the income statement","Income tax (charge)/credit relating to items that may be reclassified subsequently to the income statement","Income tax (charge)/credit relating to items that may be reclassified subsequently to the income statement","Income tax (charge)/credit relating to items that may be reclassified subsequently to the income statement","Income tax (charge)/credit relating to items that may be reclassified subsequently to the income statement","Income tax (charge)/credit relating to items that may be reclassified subsequently to the income statement","Income tax (charge)/credit relating to items that may be reclassified subsequently to the income statement","Income tax (charge)/credit relating to items that may be reclassified subsequently to the income statement"
"Items that will not be reclassified to the income statement:","Items that will not be reclassified to the income statement:","Items that will not be reclassified to the income statement:","Items that will not be reclassified to the income statement:","Items that will not be reclassified to the income statement:","Items that will not be reclassified to the income statement:","Items that will not be reclassified to the income statement:","Items that will not be reclassified to the income statement:","Items that will not be reclassified to the income statement:"
"Remeasurement gains/(losses) on pension and medical schemes","Remeasurement gains/(losses) on pension and medical schemes","Remeasurement gains/(losses) on pension and medical schemes","Remeasurement gains/(losses) on pension and medical schemes","Remeasurement gains/(losses) on pension and medical schemes","Remeasurement gains/(losses) on pension and medical schemes","Remeasurement gains/(losses) on pension and medical schemes","Remeasurement gains/(losses) on pension and medical schemes","Remeasurement gains/(losses) on pension and medical schemes"
"Others","Others","Others","Others","Others","Others","Others","Others","Others"
"Income tax (charge)/credit relating to items that will not be reclassified to the income statement","Income tax (charge)/credit relating to items that will not be reclassified to the income statement","Income tax (charge)/credit relating to items that will not be reclassified to the income statement","Income tax (charge)/credit relating to items that will not be reclassified to the income statement","Income tax (charge)/credit relating to items that will not be reclassified to the income statement","Income tax (charge)/credit relating to items that will not be reclassified to the income statement","Income tax (charge)/credit relating to items that will not be reclassified to the income statement","Income tax (charge)/credit relating to items that will not be reclassified to the income statement","Income tax (charge)/credit relating to items that will not be reclassified to the income statement"
"Total income tax (charge)/credit relating to components of other comprehensive income","Total income tax (charge)/credit relating to components of other comprehensive income","Total income tax (charge)/credit relating to components of other comprehensive income","Total income tax (charge)/credit relating to components of other comprehensive income","Total income tax (charge)/credit relating to components of other comprehensive income","Total income tax (charge)/credit relating to components of other comprehensive income","Total income tax (charge)/credit relating to components of other comprehensive income","Total income tax (charge)/credit relating to components of other comprehensive income","Total income tax (charge)/credit relating to components of other comprehensive income"
"","2021 US$M","2020 US$M","2019 US$M","2021 US$M","2020 US$M","2019 US$M","2021 US$M","2020 US$M"
"","2021 US$M","2020 US$M","2019 US$M","2021 US$M","2020 US$M","2019 US$M","2021 US$M","2020 US$M"
"","2021 US$M","2020 US$M","2019 US$M","2021 US$M","2020 US$M","2019 US$M","2021 US$M","2020 US$M"
"","2021 US$M","2020 US$M","2019 US$M","2021 US$M","2020 US$M","2019 US$M","2021 US$M","2020 US$M"
"","2021 US$M","2020 US$M","2019 US$M","2021 US$M","2020 US$M","2019 US$M","2021 US$M","2020 US$M"
"","2021 US$M","2020 US$M","2019 US$M","2021 US$M","2020 US$M","2019 US$M","2021 US$M","2020 US$M"
"","2021 US$M","2020 US$M","2019 US$M","2021 US$M","2020 US$M","2019 US$M","2021 US$M","2020 US$M"
"","2021 US$M","2020 US$M","2019 US$M","2021 US$M","2020 US$M","2019 US$M","2021 US$M","2020 US$M"
"","2021 US$M","2020 US$M","2019 US$M","2021 US$M","2020 US$M","2019 US$M","2021 US$M","2020 US$M"
