```csv
Commodity deposit,Ore type,Proved Reserves Mt,Proved Reserves %Ni,Probable Reserves Mt,Probable Reserves %Ni,Total Reserves Mt,Total Reserves %Ni,Reserve life (years),BHP interest %,As at 30 June 2020 Total Reserves Mt,As at 30 June 2020 Total Reserves %Ni,As at 30 June 2020 Reserve life (years)
Nickel West operations,Leinster OC,1.9,0.63,1.5,0.63,3.4,0.63,9.0,100,5.3,0.72,8.0
Nickel West operations,Leinster UG,-,-,5.0,1.6,5.0,1.6,-,100,5.1,1.6,-
Nickel West operations,Leinster SP,-,-,1.5,0.76,1.5,0.76,-,100,0.89,0.75,-
Nickel West operations,Mt Keith OC,65,0.57,19,0.55,84,0.57,15,100,84,0.57,15
Nickel West operations,Mt Keith SP,2.6,0.52,0.99,0.45,3.6,0.49,-,100,7.1,0.58,-
Nickel West operations,Cliffs UG,0.36,2.0,0.68,1.9,1.0,1.9,3.0,100,1.1,2.0,4.0
Nickel West operations,Yakabindie OC,123,0.54,49,0.59,172,0.56,16,100,163,0.57,15
Nickel West operations,Yakabindie SP,1.7,0.62,0.35,0.46,2.1,0.59,-,100,-,-,-
Nickel West operations,Venus UG,-,-,8.6,1.5,8.6,1.5,12,100,9.3,1.5,13
```
