```csv
As at 30 June 2020,Total Marketable Reserves,Total Marketable Reserves,Total Marketable Reserves,Reserve life (years),Reserve life (years),Reserve life (years),BHP interest,BHP interest,BHP interest
405,9.2,25.3,0.53,31,31,31,50,50,50
108,9.3,23.5,0.55,35,35,35,50,50,50
623,10.6,21.8,0.61,38,38,38,50,50,50
196,11.0,22.3,0.57,27,27,27,50,50,50
318,10.5,18.0,0.65,31,31,31,50,50,50
165,10.3,16.7,0.70,65,65,65,50,50,50
331,9.0,26.3,0.42,25,25,25,50,50,50
73,8.2,20.2,0.34,16,16,16,50,50,50
98,9.2,13.5,0.29,15,15,15,80,80,80
39,8.1,23.1,0.31,8.5,8.5,8.5,80,80,80
419,9.1,25.3,0.53,35,35,35,50,50,50
112,9.2,23.5,0.55,35,35,35,50,50,50
444,10.6,22.3,0.62,27,27,27,50,50,50
196,11.0,22.2,0.57,27,27,27,50,50,50
339,10.5,18.0,0.65,33,33,33,50,50,50
165,10.3,16.7,0.70,65,65,65,50,50,50
352,9.0,26.3,0.42,27,27,27,50,50,50
80,8.2,20.3,0.34,17,17,17,50,50,50
102,9.2,13.5,0.29,16,16,16,80,80,80
44,8.1,23.1,0.31,9.6,9.6,9.6,80,80,80
```
