Year ended 30 June 2020,Revenue,(US$M),Underlying EBITDA,D&A,Underlying EBIT,Net operating assets,Capital expenditure,Exploration gross,(US$M),Exploration to profit,(US$M)
Australia Production Unit,(US$M),361,253,197,56,289,6,,-,,
Bass Strait,(US$M),1102,761,449,312,1796,87,,-,,
North West Shelf,(US$M),1076,731,260,471,1261,130,,-,,
Atlantis,(US$M),561,431,175,256,1061,197,,-,,
Shenzi,(US$M),277,174,139,35,550,45,,-,,
Mad Dog,(US$M),216,164,64,100,1551,375,,-,,
Trinidad/Tobago,(US$M),191,92,46,46,323,46,,-,,
Algeria,(US$M),159,111,12,99,60,16,,-,,
Exploration,,-,394,41,435,1227,-1,,-,,
Other,(US$M),104,-111,77,-188,129,8,,-,,
Total Petroleum from Group production,(US$M),4047,2212,1460,752,8247,909,564,394,,
Third-party products,(US$M),39,-2,-,2,-,-,-,-,,
Total Petroleum,(US$M),4086,2210,1460,750,8247,909,564,394,,
Adjustment for equity accounted investments,(US$M),-16,-3,-3,-,-,-,-,-,,
Total Petroleum statutory result,(US$M),4070,2207,1457,750,8247,909,564,394,
