```tsv
Income tax effect of:	2021	2020	2019
Items that may be reclassified subsequently to the income statement:		US$M	US$M	US$M
Hedges:		US$M	US$M	US$M
Gains/(losses) taken to equity	(259)	94	98
(Gains)/losses transferred to the income statement	252	(89)	(90)
Others	(1)	–	–
Income tax (charge)/credit relating to items that may be reclassified subsequently to the income statement	(8)	5	8
Items that will not be reclassified to the income statement:		US$M	US$M	US$M
Remeasurement gains/(losses) on pension and medical schemes	(21)	25	7
Others	1	1	12
Income tax (charge)/credit relating to items that will not be reclassified to the income statement	(20)	26	19
Total income tax (charge)/credit relating to components of other comprehensive income(1)	(28)	31	27
```
