```tsv
Employee benefits expense:	2021 US$M	2020 US$M	2019 US$M
Wages, salaries and redundancies	4,399	3,706	3,683
Employee share awards	124	129	138
Social security costs	3	2	4
Pension and other post-retirement obligations	316	283	292
Less employee benefits expense classified as exploration and evaluation expenditure	(119)	(65)	(85)
Changes in inventories of finished goods and work in progress	(334)	(326)	496
Raw materials and consumables used	4,940	5,509	4,591
Freight and transportation	2,037	1,981	2,378
External services	5,260	4,404	4,745
Third-party commodity purchases	2,230	1,139	1,069
Net foreign exchange losses/(gains)	310	(603)	(147)
Fair value change on derivatives(1)	145	422	8
Government royalties paid and payable	3,217	2,362	2,538
Exploration and evaluation expenditure incurred and expensed in the current period	430	517	516
Depreciation and amortisation expense	6,824	6,112	5,829
Net impairments:		2021 US$M	2020 US$M	2019 US$M
Property, plant and equipment	2,583	494	250
Goodwill and other intangible assets	52	–	14
All other operating expenses	2,083	2,709	1,703
Total expenses	34,500	28,775	28,022
Insurance recoveries(2)	(46)	(489)	(57)
Other income(3)	(464)	(288)	(336)
Total other income	(510)	(777)	(393)
```
