```csv
Methods,D1_Acc.,D1_Macro-F1,D2_Acc.,D2_Macro-F1,D3_Acc.,D3_Macro-F1,D4_Acc.,D4_Macro-F1
Tang et al. (2016a),75.37,64.51,68.25,65.96,76.39,58.70,82.16,54.21
Wang et al. (2016),78.60,67.02,68.88,63.93,78.48,62.84,83.77,61.71
Tang et al. (2016b),76.87,66.40,68.91,62.79,77.89,59.52,83.04,57.91
Chen et al. (2017),78.48,68.54,72.08,68.43,79.98,60.57,83.88,62.14
LSTM,75.23,64.21,66.79,64.02,75.28,54.10,81.95,58.11
LSTM+ATT,76.83,66.48,68.07,64.82,77.38,60.52,82.73,59.12
Ours: PRET,78.28,68.55,71.32,68.53,80.67,68.31,84.87,70.73
Ours: MULT,77.41,66.68,68.65,64.57,81.05,65.69,83.27,64.56
Ours: PRET+MULT,79.11,69.73*,71.15,67.46,81.30*,68.74*,85.58*,69.76*
```
