Administration of Foreign Affairs,International Organizations,International Commissions,Foreign Assistance,Other,Total
"Unobligated balance from prior year budget authority, net","$ 16,299","$ 1,187",$ 123,"$ 1,523","$ 13,610,$ 32,742"
Appropriations (discretionary and mandatory),"16,159","3,000",167,"1,711","15,347,36,384"
Borrowing authority (discretionary and mandatory),3,—,—,—,"—,3"
Spending authority from offsetting collections (discretionary and mandatory),"7,912",—,1,32,"29,7,974"
Total Budgetary Resources,"$ 40,373","$ 4,187",$ 291,"$ 3,266","$ 28,986,$ 77,103"
New obligations and upward adjustments (total),"$ 25,189","$ 3,316",$ 142,"$ 1,846","$ 18,664,$ 49,157"
"Unobligated balance, end of year:",,,,,","
"Apportioned, unexpired accounts","14,388",836,142,"1,277","9,899,26,542"
"Exempt from apportionment, unexpired accounts",47,—,—,—,"2,49"
"Unapportioned, unexpired accounts",71,6,2,—,"73,152"
"Unexpired unobligated balance, end of year","14,506",842,144,"1,277","9,974,26,743"
"Expired unobligated balance, end of year",678,29,5,143,"348,1,203"
"Unobligated balance, end of year (total)","15,184",871,149,"1,420","10,322,27,946"
Total Budgetary Resources,"$ 40,373","$ 4,187",$ 291,"$ 3,266","$ 28,986,$ 77,103"
"Outlays, Net:",,,,,","
"Outlays, net (total) (discretionary and mandatory)","16,666","4,230",135,"1,983","14,666,37,680"
Distributed offsetting receipts (-),"(2,877)",—,—,—,"—,(2,877)"
"Agency outlays, net (discretionary and mandatory)","$ 13,789","$ 4,230",$ 135,"$ 1,983","$ 14,666,$ 34,803"
