,Secretary of State's Register of CulturallySignificant Property,National Museumof AmericanDiplomacy,Blair House,International Boundaryand Water Commission
Description,"Noncollection -Buildings ofhistoric, cultural,or architecturalsignificance","Collectibles -Historic artifats,art and othercultural objects","Colectionsoffineaddecorativearts,furnisingsifctsrcultural objects,rare books andarchival materials in nationalhistoric landmark buildings","Monuments that mark theinternationalboundary betweenthe United States and Mexico,Falcon International Dam andPower Plant"
Acquisition andWithdrawal,Acquired throughpurchase. Excess items are sold.,Acquired throughdonation ortransfer. Excessitems aretransferred.,"Acquired through purchase,donation or transfer. Excessitems are transferred ordisposed of via public sale.",The monuments were constructedto mark the internationalboundary.Thedam and power plant were constructed bythe United States and Mexico pursuant to Water Treaty of 1944.
Condition,Poor to excellent,Good to excellent,Good to excellent,Poor to good
Number of Assets -9/30/2018,33,"4,884",2.612,140
Acquisitions,4,"1,020",1,
Adjustments,,171,,
Disposals,,1,9,
Number of Assets -9/30/2019,37,"6,074","2,604",140
Acquisitions,,142,,
Adjustments,,,1,
Disposals,1,,6,
Number of Assets -9/30/2020,36,"6,216","2,599",140
