Appropriation / Program (dollars in millions),2020 Estimate Enduring,2020 Estimate OCO,2020 Estimate Total,2020 Supplemental Total,2020 Grand Total,2021 Request Total
Foreign Assistance,"$33,231.0","$4,092.5","$37,323.5","$1,689.0","$39,012.5","$27,624.2"
State Only Accounts,"16,586.6","2,358.5","18,945.1",350.0,"19,295.1","11,716.7"
Security Assistance,"8,176.8",837.1,"9,013.9",,"9,013.9","7,579.6"
Foreign Military Financing,"5,645.0",511.9,"6,156.9",,"6,156.9","5,420.9"
International Military Education & Training,112.9,-,112.9,,112.9,104.9
International Narcotics Control and Law Enforcement,"1,391.0",-,"1,391.0",,"1,391.0","1,010.3"
"Nonproliferation, Antiterrorism, and Demining",895.8,-,895.8,,895.8,753.5
Peacekeeping Operations,132.1,325.2,457.3,,457.3,290.0
Health,"5,930.0",-,"5,930.0",,"5,930.0","3,837.9"
Global Health Programs - State,"5,930.0",-,"5,930.0",,"5,930.0","3,837.9"
Humanitarian Assistance,"1,910.8","1,521.4","3,432.2",350.0,"3,782.2",299.2
Migration and Refugee Assistance,"1,910.7","1,521.4","3,432.1",350.0,"3,782.1",299.2
Emergency Refugee & Migration Assistance,0.1,-,0.1,,0.1,
Economic & Development Assistance,569.0,-,569.0,-,569.0,
Democracy Fund,178.5,-,178.5,,178.5,
International Organizations and Programs,390.5,-,390.5,,390.5,
Other Accounts,"16,644.4","1,734.0","18,378.4","1,339.0","19,717.4","15,907.5"
Health,"3,162.5",-,"3,162.5",435.0,"3,597.5","2,160.1"
Global Health Programs - USAID,"3,162.5",-,"3,162.5",435.0,"3,597.5","2,160.1"
Humanitarian Assistance,"4,386.4","1,734.0","6,120.4",558.0,"6,678.4","5,968.0"
International Disaster Assistance,"2,661.4","1,734.0","4,395.4",558.0,"4,953.4",
"Food for Peace, Title II","1,725.0",-,"1,725.0",1,"1,725.0",
International Humanitarian Assistance,,,,,,
Economic & Development Assistance,"7,432.5",-,"7,432.5",250.0,"7,682.5","6,187.6"
"Assistance for Europe, Eurasia & Central Asia",770.3,,770.3,1,770.3,
Economic Support and Development Fund,,,,,,
Economic Support Fund,"3,045.0",-,"3,045.0",250.0,"3,295.0",
Development Assistance,"3,400.0",-,"3,400.0",,"3,400.0",
Democracy Fund,95.2,-,95.2,,95.2,
Transition Initiatives,92.0,-,92.0,,92.0,112.0
Complex Crises Fund,30.0,-,30.0,,30.0,
USAID Administrative Expenses,"1,663.0",-,"1,663.0",96.0,"1,759.0","1,591.8"
USAID Operating Expense,"1,377.2",-,"1,377.2",95.0,"1,472.2","1,311.9"
USAID Capital Investment Fund,210.3,-,210.3,,210.3,205.0
USAID Inspector General,75.5,-,75.5,1.0,76.5,74.9
