"For the Years Ended September 30, (dollars in millions)",2020,2020,2020,2019 Total
"For the Years Ended September 30, (dollars in millions)",Intragovernmental,With the Public,Total,2019 Total
Net Cost,"$(1,088)","$33,725","$32,637","$29,709"
Components of Net Cost that are not Part of Net Outlays:,,,,
"Property, Plant,and Equipment Depreciation",,"(1,346)","(1,346)","(1,228)"
"Property, Plant,and Equipment gain/(loss)on Disposal & Revaluation",,(280),(280),(137)
Year-end Credit Reform Subsidy Re-estimates,,(1),(1),(1)
Other,"1,104",625,"1,729","1,897"
Increase/(decrease) in Assets:,,,,
Accounts Receivable,(19),40,21,(352)
Loans Receivable,丨,5,5,
Other Assets,629,252,881,(126)
(Increase)/decrease in Liabilities:,,,,
Accounts Payable,(49),"1,018",969,126
Salaries and Benefits,258,2,260,(297)
Environmental and Disposal Liabilities,一,2,2,41
Other Liabilities,(4),"(1,579)","(1,583)","(2,455)"
Other Financing Sources:,,,,
Transfers out(in) Without Reimbursement,14,1,14,(1)
Total Components of Net Cost that are not Part of Net Outlays,"1,933","(1,262)",671,"(2,533)"
Components of Net Outlays that are not Part of Net Cost:,,,,
Acquisition of Capital Assets,,"2,386","2,386","2,637"
Other,,"1,986","1,986","3,472"
Total Components of Net Outlays that are not Part of Net Cost,,"4,372","4,372","6,109"
Net Outlays,$ 845,"$36,835","$37,680","$33,285"
