"Pension Actuarial Liability, Beginning of Year","$23,401","$21,927"
Pension Expense:,Normal Cost,"574,519"
Pension Expense:,Interest on Pension Liability,"772,742"
Pension Expense:,Actuarial (Gains) or Losses:,"From Experience,316,520"
Pension Expense:,Actuarial (Gains) or Losses:,"From Assumption Changes,Interest Rate,803,292"
Pension Expense:,Actuarial (Gains) or Losses:,"From Assumption Changes,Experience Study,—,—"
Pension Expense:,Actuarial (Gains) or Losses:,"From Assumption Changes,Other,156,387"
Pension Expense:,Prior Year Service Costs,"—,—,—,—"
Pension Expense:,Other,"—,—,—,—"
Pension Expense:,Total Pension Expense,"2,621,2,460"
Pension Expense:,Less Payments to Beneficiaries,"1,008,986"
Pension Expense:,"Pension Actuarial Liability, End of Year","25,014,23,401"
Pension Expense:,Less: Net Assets Available for Benefits,"20,037,19,651"
Pension Expense:,Actuarial Pension Liability – Unfunded,"$ 4,977,$ 3,750"
Actuarial Assumptions:,,
"Actuarial Assumptions:,Rate of Return on Investments",3.10%,3.33%
"Actuarial Assumptions:,Rate of Inflation",1.55%,1.50%
"Actuarial Assumptions:,Salary Increase",1.80%,1.75%
