Budgetary Resources,Diplomatic Programs,Consular and Border Security Programs,Global Health Programs,Migration and Refugee Assistance,Education and Cultural Exchange,Total
Appropriations,$ 588,,$ 435,$ 350,,$ —
"Transfers, net",$(278),$ 273,,,$ 5,
Total Budgetary Resources,$ 310,$ 273,$ 435,$ 350,$ 5,
Status of Budgetary Resources,,,,,,
New obligations,$ 273,$ 197,$ 336,$ 350,$ 5,
"Unobligated, unexpired accounts",$ 37,$ 76,$ 99,,,
Total Budgetary Resources,$ 310,$ 273,$ 435,$ 350,$ 5,
"Outlays, Net:","Outlays, net (total)",$ 134,$ 190,$ 106,$ 302,$ 3
"Agency outlays, net",$ 134,$ 190,$ 106,$ 302,$ 3,
Net Cost,Total Net Cost,$ 135,$ 191,$ 139,$ 302,$ 3
