ozoDaidlceSiee,ozoDaidlceSiee,All Other,All Other,Eliminations,Eliminations,,
,,Dedicated Collections,Amounts (with,Between Dedicated,,,
Financial Statement Line,Amounts,Combined,Eliminations,and All Other,Amounts ASSETS,Reclassified Financial Statement Line,
ASSETS,,,,,,Intragovernmental Assets,
Intragovernmental Assets Fund Balance with Treasury,"$59,653","$ 2,242","$57,411",,"$59,653",Fund Balance with Treasury,
"Investments, Net","20,071",46,"20,025",,"20,071",Federal Investments,
Interest Receivable,120,,120,,120,Interest Receivable- Investments,
"Accounts Receivable, Net",110,,107,,107,Accounts Receivable,
,,,5,(2),3,Benefit Program Contributions Receivable,
Other Assets,"1,847",94,"1,839",(86),"1,847",Advances to Others and Prepayments,
Total Intragovernmental Assets,"81,801","2,382","79,507",（88）,"81,801",Total Intragovernmental Assets,
Cash and Other Monetary Assets,241,,241,,241,Cash and Other Monetary Assets,
"Accounts and Loans Receivable, Net",125,1,118 6,,119 6,"Accounts and Taxes Receivable, Net Loans Receivable, Net",
"Property and Equipment, Net","26,305",116,"26,189",,"26,305","Property, Plant,and Equipment,Net",
,,,21,,21,"Inventory and Related Property, Net",
Other Assets,"1,266",7,"1,238",,"1,245",Other Assets,
Total Non-Federal Assets,"27,937",124,"27,813",,"27,937",Total Non-Federal Assets,
Total Assets,"$109,738","$2,506","$107,320",$ (88),"$109,738",Total Assets,
LIABILITIES Intragovernmental Liabilities Accounts Payable,,$,$,,$,LIABILITIES,
Other Liabilities,$ 151 361,49,102,,151,Intragovernmental Liabilities Accounts Payable,
Other Liabilities,$ 151 361,,5,,5,Loans Payable,
Other Liabilities,$ 151 361,,21,,21,Liability to General Fund for Custodial and,
Other Liabilities,$ 151 361,7,372,(86),,Other Non-Entity Assets,
Other Liabilities,$ 151 361,19,25,(2),293 42,Advances from Others and Deferred Credits Benefit Program Contributions Payable,
Total Intragovernmental Liabilities Accounts Payable,512,75,525,（88),512,Total Intragovernmental Liabilities,
After-Employment Benefit Liability,"2,427",128,"2,556",,"2,684",Accounts Payable,
,"25,899",76,"26,614",,"26,690",Federal Employeeand Veteran Benefits Payable,
,,,52,,52,Environmental and Disposal Liabilities,
International Organizations Liability,"2,518",27,,,,,
Other Liabilities Total Non-Federal Liabilities,"1,686",231,"3,077",,"3,104",Other Liabilities,
,"32,530",,"32,299",,"32,530",Total Non-Federal Liabilities,
Total Liabilities,"$33,042",$ 306,"$32,824",$ (88),"$33,042",Total Liabilities,
