SG1: Protect America's Security at Home and Abroad,Total Cost,Earned Revenue,Net Program Costs,SG2: Renew America's Competitive Advantage for Sustained Economic Growth and Job Creation,Total Cost,Earned Revenue,Net Program Costs,SG3: Promote American Leadership through Balanced Engagement,Total Cost,Earned Revenue,Net Program Costs,SG4: Ensure Effectiveness and Accountability to the American Taxpayer,Total Cost,Earned Revenue,Net Program Costs Before Assumption Changes,Actuarial Loss on Pension,Assumption Changes (Notes 1 and 9),Net Program Costs,Cost Not Assigned to Programs,Total Cost,Earned Revenue,Net Costs,Total Cost and Loss on Assumption Changes,Total Revenue,Total Net Cost
"For the Year Ended September 30,",,,,,,,,,,,,,,,,,,,,,,,,,
$,"$7,554",,,,,,,,,,,,,,,,,,,,,,,,
2020,"$7,554",,,,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,
$,"$7,554","$(1,864)","$5,690",,,,,,,,,,,,,,,,,,,,,,
2020,"$7,554",,,,,,,,,,,,,,,,,,,,,,,,
$,"$7,554","$(1,864)","$5,690",,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,
$,"$7,554","$(1,864)","$5,690",,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,
$,"$7,554","$(1,864)","$5,690",,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,
$,"$7,554","$(1,864)","$5,690",,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,
$,"$7,554","$(1,864)","$5,690",,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,
$,"$7,554","$(1,864)","$5,690",,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,
$,"$7,554","$(1,864)","$5,690",,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,
$,"$7,554","$(1,864)","$5,690",,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,
$,"$7,554","$(1,864)","$5,690",,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,
$,"$7,554","$(1,864)","$5,690",,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,
$,"$7,554","$(1,864)","$5,690",,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,
$,"$7,554","$(1,864)","$5,690",,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,
$,"$7,554","$(1,864)","$5,690",,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,
$,"$7,554","$(1,864)","$5,690",,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,
$,"$7,554","$(1,864)","$5,690",,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,
$,"$7,554","$(1,864)","$5,690",,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,
$,"$7,554","$(1,864)","$5,690",,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,
$,"$7,554","$(1,864)","$5,690",,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,
$,"$7,554","$(1,864)","$5,690",,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,
$,"$7,554","$(1,864)","$5,690",,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,
$,"$7,554","$(1,864)","$5,690",,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,
$,"$7,554","$(1,864)","$5,690",,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,
$,"$7,554","$(1,864)","$5,690",,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,
$,"$7,554","$(1,864)","$5,690",,,,,,,,,,,,,,,,,,,,,,
2020,,,,,,,,,,,,,,,,,,,,,,,,,
$,"$7,554","$(1,864)","$5,690",,,,,,,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,
