Liabilities Not Covered by Budgetary Resources,2020,2019
Intragovernmental Liabilities,,"Unfunded FECA Liability,Unfunded FECA Liability"
Total Intragovernmental Liabilities,19,19
International Organizations Liability,"2,259","2,318"
After-Employment Benefit Liability:,,
Foreign Service Retirement Actuarial Liability,"4,977","3,750"
Foreign Service Nationals (FSN):,Defined Contributions Fund,Defined Contributions Fund
,Defined Benefit Plans,Defined Benefit Plans
Lump Sum Retirement and Voluntary Severance,593,463
Total After-Employment Benefit Liability,"5,862","4,508"
Accrued Annual Leave,536,418
Environmental Liability,52,54
Capital Lease Liability,49,64
Contingent Liability,61,25
Other Liabilities,222,384
Total Liabilities Not Covered by Budgetary Resources,"9,060","7,790"
Total Liabilities Covered by Budgetary Resources,"23,898","24,537"
Total Liabilities Not Requiring Budgetary Resources,84,84
Total Liabilities,"$ 33,042","$ 32,411"
