"HERITAGE ASSETSFor the Years Ended September 30,2019and 2020","HERITAGE ASSETSFor the Years Ended September 30,2019and 2020","HERITAGE ASSETSFor the Years Ended September 30,2019and 2020","HERITAGE ASSETSFor the Years Ended September 30,2019and 2020","HERITAGE ASSETSFor the Years Ended September 30,2019and 2020","HERITAGE ASSETSFor the Years Ended September 30,2019and 2020"
,Diplomatic ReceptionRooms Collection,Art BankProgram,Art in EmbassiesProgram,CulturalHeritageCollection,Library Rare &Special BookCollection
Description,Collectibles -Art and furnishingsfrom the period 1750to 1825,Collection ofAmerican worksof art on paper,Collectibles -American worksof art,Collections includefine and decorativearts and othercultural objects,Collectibles-Rarebooks and otherpublications ofhistoric value
Acquisition andWithdrawal,Acquired throughdonation or purchaseusing donated funds.Excess items are sold.,Acquired throughpurchase.Excessitems aretransferred.,Acquired throughpurchase ordonation. Excess items are sold.,"The programprovides assessment,preservation,andrestoration asneeded.",Acquiredthroughdonation.
Condition,Good to excellent,Poor to excellent,Good to excellent,Good to excellent,Poor to good
Number of Assets -9/30/2018,"1,820","2,620","1,208","18,594","1,282"
Acquisitions,6,27,40,95,61
Adjustments,1,,15,600,
Disposals,6,,,702,1
Number of Assets -9/30/2019,"1,821",2.647,"1,263","18,587","1,342"
Acquisitions,8,13,6,93,34
Adjustments,1,,,565,
Disposals,5,,,220,5
Number of Assets -9/30/2020,"1,825","2,660","1,269","19,025","1,371"
