"Non-Federal LeaseYear Ended September 30,2019 Payments","Non-Federal LeaseYear Ended September 30,2019 Payments","Non-Federal LeaseYear Ended September 30,2019 Payments","Non-Federal LeaseYear Ended September 30,2019 Payments","Non-Federal LeaseYear Ended September 30,2019 Payments","Non-Federal LeaseYear Ended September 30,2019 Payments","Non-Federal LeaseYear Ended September 30,2019 Payments",,,,
2020,2020,2020,2020,$ 431,$ 431,$ 431,,,,
20212022,20212022,20212022,20212022,,,,,,,
20212022,20212022,20212022,20212022,2022,2022,,,,,
,,,227,2022,2022,,,,,
20232024,20232024,20232024,20232024,2022,2022,,,,,
20232024,20232024,20232024,20232024,136,,,,,,
20232024,20232024,20232024,20232024,,76,,,,,
2025and thereafter,2025and thereafter,2025and thereafter,2025and thereafter,172,172,172,,,,
Total Future Minimum Lease Payments,Total Future Minimum Lease Payments,Total Future Minimum Lease Payments,Total Future Minimum Lease Payments,"$ 1,371","$ 1,371","$ 1,371",,,,
