"For the Year Ended September 30,",2020,2019
"Pension Actuarial Liability, Beginning of Year","$23,401","$21,927"
Pension Expense: Normal Cost,574,519
Interest on Pension Liability,,742
Actuarial (Gains) or Losses:,772,
From Experience,1 316,520
From Assumption Changes,,
Interest Rate Experience Study,803,292
Other,1 156,1 387
Prior Year Service Costs,,1
Other Total Pension Expense,"一 2,621","一 2,460"
Less Payments to Beneficiaries,"1,008",986
"Pension Actuarial Liability,Endof Year","25,014","23,401"
Less: Net Assets Available for Benefits,"20,037","19,651"
Actuarial Pension Liability- Unfunded,"$4,977","$3,750"
Actuarial Assumptions:,2020,2019
Rate of Return on Investments,3.10%,3.33%
Rate of Inflation,1.55%,1.50%
Salary Increase,1.80%,1.75%
