(dollars in millions),(dollars in millions),(dollars in millions),(dollars in millions)
"For the Year Ended September 30,",2020,2020,2019
Budgetary Resources:,$,,
"Unobligated balance from prior year budget authority, net Appropriations (discretionary and mandatory)","32,742 36,384",$,"31,089 35,858"
Borrowing authority (discretionary and mandatory),3,,2
Spending authority from offsetting collections (discretionary and mandatory),"7,974",,"7,980"
Total Budgetary Resources,"77,103",$,
Status of Budgetary Resources:,$,,"74,929"
New obligations and upward adjustments (total),"$ 49,157",$,"43,642"
"Unobligated balance, end of year:",,,
"Apportioned, unexpired accounts","26,542",,"28,347"
"Exempt from apportionment,unexpired accounts",49,,"1,463"
"Unapportioned, unexpired accounts",152,,468
"Unexpired unobligated balance,end of year","26,743",,"30,278"
"Expired unobligated balance,end of year","1,203",,"1,009"
"Unobligated balance,end of year (total)","27,946",,"31,287"
Total Budgetary Resources,"$ 77,103",,"$ 74,929"
"Outlays, Net:",,,
"Outlays, net (total) (discretionary and mandatory)","37,680",,"33,285"
Distributed offsetting receipts (-),"(2,877)",,"(3,831)"
"Agency outlays, net (discretionary and mandatory)","$ 34,803",,"$ 29,454"
