,2020,2020,2020,2020,2019 All Other,2019 All Other,2019 All Other,2019 All Other
,Consular and Border Funds from Funds from Security,All Other,Dedicated,Total Dedicated,Consular and Border Funds from Funds from Security,Dedicated,,Total Dedicated
,Programs,,,Collections Collections,Programs,,Collections Collections,
Balance Sheet as of September 30 ASSETS,,,,,,,,
Intragovernmental Assets:,,,,,,,,
Fund Balance with Treasury,"$ 2,003",$,239,"$2,242","$ 2,703",$,212,"2,915 46"
"Investments, Net Other Assets",,,46 1,46 94,,,46,46
Total Intragovernmental Assets,"2,096",93,286,,,45,1,"3,007"
"Accounts and Loans Receivable, Net",,1,,2382,"2,748",,259,
"Property and Equipment, Net",,,,1,,1,一,107
,,9,107,116 7,,一,107,
Other Assets,"$2,114",8,(1),,,14,(1),13
Total Assets,,$,392,"$2,506","$2,762",$,365,"3,127"
LIABILITIES,,,,,,,,
Intragovernmental Liabilities: Accounts Payable,$,49,,$ 49,$,19 $,,19
Other Liabilities,,26,,26,,20,,20
Total Intragovernmental Liabilities,,75,,75,,39,,39
Accounts Payable,128,,一,128,,68,1,68
Other Liabilities,101,,2,103,,85,2,87
Total Liabilities,304,,2,306,,192,2,194
NET POSITION,,,,,,,,
Unexpended Appropriations,83,,,83,,,,
Cumulative Results of Operations Total Net Position,"1,727 1,810",,390,"2,117",,"2,570",363,"2,933 2,933"
Total Liabilities and Net Position,"$2,114",$,390 392,"2,200 2,506","$ 2,762","2,570 $",363 365,"$3,127"
Statement of Net Cost for the Year Ended September 30,,,,,,,,
Gross Program Costs,"$ 3,169",$,79,"$ 3,248","$ 2,379",$,62,"2,441"
Less: Earned Revenues,"2,011",,1,"2,012","3,492",,一,"3,492"
Net Program Costs,"1,158",,78,"1,236","(1,113)",,62,"(1,051)"
Net Cost of Operations,"$1,158",$,,"78$1,236","$(1,113)",$,62,"$ (1,051)"
Statement of Changes in Net Position for the Year Ended September 30,,,,,,,,
Net Position Beginning of Period Budgetary Financing Sources:,"$2,570",$,,"363$2,933",$,1 $,353,353
Appropriations Used,190,,一,190,,,1,
Donations,,,62,62,,1 一,18,18
Transfers in(out) without Reimbursement,,,42,115,"1,408",,52,"1,460"
Other Financing Sources: Donations,,,,,,,,
Imputed Financing from Costs Absorbed by Others,,,1,1,,1,1,1 50
Total Financing Sources,,52,1,53,,49,1,"1,529"
Net Cost of Operations,,315,105,420,,"1,457",72,
,"(1,158)",,（78）,"(1,236)",,"1,113",(62),"1,051"
Change in Net Position,,(843),27,(816),,"2,570",10,"2,580"
Total Cumulative Results of Operations,"1,727",,390,"2,117",,"2,570",363,"2,933"
Net Position,"$1,810",$,390,"$2,200","$ 2,570",$,363,"$2,933"
