"Arms Control, Int'l Security",Management-Consular Affairs,"Civilian Security, Democracy and Human Rights","Economic Growth, Energy and Environment",Political Affairs,Public Diplomacy and Public Affairs,Intra-Departmental Eliminations,Total
SG1: Protect America's Security at Home and Abroad,487,2181,1408,21,3245,292,"-80,7554"
Total Cost,487,2181,1408,21,3245,292,"-80,7554"
Earned Revenue,-29,-1697,-9,--174,-4,49,"49,-1864"
Net Program Costs,458,484,1399,21,3071,288,"-31,5690"
SG2: Renew America's Competitive Advantage for Sustained Economic Growth and Job Creation,27,36,17,63,1833,167,"-30,2113"
Total Cost,27,36,17,63,1833,167,"-30,2113"
Earned Revenue,-4,-27,1,--81,-2,21,-92
Net Program Costs,23,9,18,63,1752,165,"9,2021"
SG3: Promote American Leadership through Balanced Engagement,165,22,12834,16,1491,203,"-22,14709"
Total Cost,165,22,12834,16,1491,203,"-22,14709"
Earned Revenue,-9,-16,-2,--54,-2,15,-68
Net Program Costs,156,6,12832,16,1437,201,"7,14641"
SG4: Ensure Effectiveness and Accountability to the American Taxpayer,189,1382,145,67,16687,607,"-5116,13961"
Total Cost,189,1382,145,67,16687,607,"-5116,13961"
Earned Revenue,-31,-6393,5,--3333,-5,5028,-4729
Net Program Costs,158,-5011,150,67,13354,602,"-88,9232"
Actuarial Loss on Pension Assumption Changes,10,76,8,4,924,34,"--,1056"
Net Program Costs,168,-4935,158,71,14278,636,"-88,10288"
Cost Not Assigned to Programs,,,14,,8,4,"-27,-1"
Total Cost,,,14,,8,4,"-27,-1"
Earned Revenue,-1,,-,,-28,,"-27,-2"
Net Costs,-1,,-,,-20,4,",-3"
Total Cost,878,3697,14426,171,24188,1307,"-5275,39392"
Total Revenue,-74,-8133,-5,--,3670,-13,"5140,-6755"
Total Net Cost,804,-4436,14421,171,20518,1294,"-135,32637"
