Category,Number of Assets,Condition
Diplomatic Reception Rooms,,
Collection,"1,825",Good to Excellent
Art Bank Program,"2,660",Poor to Excellent
Art in Embassies Program,"1,269",Good to Excellent
Cultural Heritage Collection,"19,025",Good to Excellent
Library Rare& Special Book Collection,,
Secretary of State's Register of,"1,371",Poor to Good
Culturally Significant Property,36,Poor to Excellent
National Museum of American,,
Diplomacy,"6,216",Good to Excellent
Blair House,"2,599",Good to Excellent
International Boundary and,,
Water Commission,140,Poor to Good
