Appropriation / Program (dollars in millions),Prior Year Unobligated Balances for 2020,2020 Estimate,2020 Supplemental,2020 Grand Total,2021 Request
Diplomatic Engagement,"$13,557.3","$15,503.3","$3,697.5","$19,200.8","$588.0,$19,788.8,$16,281.8"
Administration of Foreign Affairs,"12,428.0","13,088.2","2,612.6","15,700.8","588.0,16,288.8,14,023.6"
State Programs,"3,859.4","10,376.0","2,376.1","12,752.1","583.0,13,335.1,11,819.6"
Diplomatic Programs,"2,206.6","6,489.6","2,376.1","8,865.7","309.0,9,174.7,8,489.9"
Ongoing Operations,437.0,"5,019.8",—,"5,019.8","309.0,5,328.8,4,794.5"
Worldwide Security Protection,"1,769.6","1,469.8","2,626.1","4,095.9","—,4,095.9,3,695.4"
Worldwide Security Protection (Rescission/transfer of prior year balances),—,—,(250.0),(250.0),"—,(250.0),—"
Worldwide Security Protection,—,—,—,—,"—,—,—"
Capital Investment Fund,0.8,139.5,—,139.5,"—,139.5,256.7"
"Consular and Border Security Programs (Fee Funded, non appropriated)","1,652.0","3,746.9",—,"3,746.9","274.0,4,020.9,3,073.0"
"Embassy Security, Construction, & Maintenance","8,242.7","1,551.4",181.6,"1,733.0","—,1,733.0,1,683.8"
Ongoing Operations,—,769.8,—,769.8,"—,769.8,742.1"
Worldwide Security Upgrades,"8,242.7",781.6,424.1,"1,205.7","—,1,205.7,941.7"
Worldwide Security Upgrades (Rescission of prior year balances),—,—,(242.5),(242.5),"—,(242.5),—"
Other Administration of Foreign Affairs,325.9,"1,160.8",54.9,"1,215.7","5.0,1,220.7,520.2"
Office of Inspector General,9.1,90.8,54.9,145.7,"—,145.7,141.4"
Educational and Cultural Exchange Programs,53.3,730.7,—,730.7,"5.0,735.7,310.0"
Representation Expenses,—,7.2,—,7.2,"—,7.2,7.4"
Protection of Foreign Missions and Officials,1.3,30.9,—,30.9,"—,30.9,25.9"
Emergencies in the Diplomatic and Consular Service,262.2,267.9,—,267.9,"—,267.9,7.9"
Repatriation Loans Program Account,—,1.3,—,1.3,"—,1.3,1.3"
Payment to the American Institute in Taiwan,—,32.0,—,32.0,"—,32.0,26.3"
International Organizations,"1,012.8","1,915.3","1,084.9","3,000.2","—,3,000.2,2,045.4"
Contributions to International Organizations,6.1,"1,377.6",96.2,"1,473.8","—,1,473.8,966.2"
Contributions for International Peacekeeping Activities,"1,006.7",537.7,988.7,"1,526.4","—,1,526.4,1,079.2"
International Commissions,104.0,162.8,—,162.8,"—,162.8,144.2"
International Boundary and Water Commission – S&E,—,48.2,—,48.2,"—,48.2,49.8"
IBWC – Construction,103.5,36.9,—,36.9,"—,36.9,49.0"
American Sections,0.5,15.0,—,15.0,"—,15.0,10.7"
International Fisheries Commissions,—,62.7,—,62.7,"—,62.7,34.7"
Related Programs,335.7,335.7,—,335.7,"—,335.7,67.3"
The Asia Foundation,—,19.0,—,19.0,"—,19.0,—"
National Endowment for Democracy,—,300.0,—,300.0,"—,300.0,67.3"
East-West Center,—,16.7,—,16.7,"—,16.7,—"
Special and Trust Funds,12.5,1.3,1.3,—,"1.3,1.3,1.3"
Center for Middle Eastern-Western Dialogue,12.2,0.2,—,0.2,"—,0.2,0.3"
Eisenhower Exchange Fellowship Program,—,0.3,—,0.3,"—,0.3,0.2"
Israeli Arab Scholarship Program,0.3,0.1,—,0.1,"—,0.1,0.1"
International Chancery Center,—,0.7,—,0.7,"—,0.7,0.7"
Foreign Service Retirement and Disability Fund (non-add),—,158.9,—,158.9,"—,158.9,158.9"
