"(dollars in millions) For the Year Ended September 30,",,,,,2019
"(dollars in millions) For the Year Ended September 30,",2020,2020,2020,2020,2019
,Combined Funds From Dedicated Collections,Combined All Other Funds,Intra- Departmental Eliminations,Consolidated Total,Consolidated Total
Unexpended Appropriations,,,,,
Beginning Balances,$,"$ 46,623",$,"$ 46,623","$ 46,493"
Budgetary Financing Sources:,,,,,
Appropriations Received,,"33,457",,"33,457","31,548"
Appropriations Transferred in(out),273,(344),,(71),98
Rescissions and Canceling Funds,丨,(389),,(389),(677)
Appropriations Used,(190),"(32,513)",,"(32,703)","(30,839)"
Total Budgetary Financing Sources,83,211,,294,130
Total Unexpended Appropriations,83,"46,834",,"46,917","46,623"
Cumulative Results of Operations,,,,,
Beginning Balances,"$ 2,933","$ 27,005",$,"$ 29,938","$ 29,181"
Budgetary Financing Sources:,,,,,
Appropriations Used,190,"32,513",,"32,703","30,839"
Donations Transfers in(out) without,62,一,,62,18
Reimbursement,115,(86),1,30,53
Other Financing Sources:,,,,,
Donations Transfers in(out) without,,1,1,1,8
Reimbursement,,34,(1),33,1
Imputed Financing from Costs Absorbed by Others,53,268,(135),186,216
Non-entity Collections,,(536),丨,(536),(668)
Total Financing Sources,420,"32,193",(135),"32,478","30,466"
Net Cost of Operations,"(1,236)","(31,536)",135,"(32,637)","(29,709)"
Net Change,(816),657,1,(159),757
Total Cumulative Results of Operations,"2,117","27,662",,"29,779","29,938"
,,,$,,
Net Position,"$ 2,200","$ 74,496",,"$ 76,696","$ 76,561"
