2020 Consular and Border Security Programs,2020 All Other Funds from Dedicated Collections,2020 Total Funds from Dedicated Collections,2019 Consular and Border Security Programs,2019 All Other Funds from Dedicated Collections,2019 Total Funds from Dedicated Collections
Balance Sheet as of September 30,,,,,
Intragovernmental Assets:,,,,,
Fund Balance with Treasury,"$ 2,003",239,"$2,242","$ 2,703",212
"Investments, Net",,,46,,46
Other Assets,93,,94,45,
"Accounts and Loans Receivable, Net",1,,1,,1
"Property and Equipment, Net",9,,,107,107
Other Assets,8,(1),7,14,(1)
Total Assets,"$ 2,114",$ 392,"$ 2,506","$ 2,762",$ 365
LIABILITIES,,,,,
Intragovernmental Liabilities:,,,,,
Accounts Payable,$ 49,$ —,$ 49,$ 19,$ —
Other Liabilities,26,,26,20,
Total Intragovernmental Liabilities,75,,75,39,
Accounts Payable,128,,128,68,
Other Liabilities,101,2,103,85,2
Total Liabilities,$ 304,$ 2,$ 306,$ 192,$ 365
NET POSITION,,,,,
Unexpended Appropriations,83,,83,,
Cumulative Results of Operations,"1,727",390,"2,117","2,570",363
Total Net Position,"$ 1,810",$ 390,"$ 2,200","$ 2,570",$ 363
Total Liabilities and Net Position,"$ 2,114",$ 392,"$ 2,506","$ 2,762",$ 365
Statement of Net Cost for the Year Ended September 30,,,,,
Gross Program Costs,"$ 3,169",79,"$ 3,248","$ 2,379",62
Less: Earned Revenues,"2,011",1,"2,012","3,492",
Net Program Costs,"$ 1,158",78,"$ 1,236","(1,113)",62
Net Cost of Operations,"$ 1,158",78,"$ 1,236","(1,113)",62
Statement of Changes in Net Position for the Year Ended September 30,,,,,
Net Position Beginning of Period,"$ 2,570",363,"$ 2,933",,353
Budgetary Financing Sources:,,,,,
Appropriations Used,190,,190,,
Donations,,62,62,,18
Transfers in(out) without Reimbursement,73,42,115,"1,408",52
Other Financing Sources:,,,,,
Imputed Financing from Costs Absorbed by Others,52,1,53,49,1
Total Financing Sources,$ 315,$ 105,$ 420,"$ 1,457",$ 72
Net Cost of Operations,"(1,158)",(78),"(1,236)","1,113",(62)
Change in Net Position,(843),27,(816),"2,570",10
Total Cumulative Results of Operations,"1,727",390,"2,117","2,570",363
Net Position,"$ 1,810",$ 390,"$ 2,200","$ 2,570",$ 363
