At September 30, 2020:,Net Investment,Market Value,Maturity Dates,Interest Rates Range,Interest Receivable
"Non-Marketable, Par Value:",Special Issue Securities,"$ 19,981","$ 19,981",2021 - 2028,0.750% - 5.125%,$ 120
Subtotal,"19,981","19,981",,,120,
"Non-Marketable, Market Based:",Israeli Arab Scholarship Fund,5,5,2021 - 2024,2.000% - 2.625%,
Eisenhower Exchange Fellowship Fund,7,7,2020 - 2021,0.125% - 2.500%,,
Middle Eastern-Western Dialogue Fund,11,12,2020 - 2024,1.750% - 2.875%,,
"Gift Funds, Treasury Bills",23,24,2020 - 2027,1.625% - 2.750%,,
International Center,12,12,2020,0.000%,,
Foreign Service National Defined Contribution Fund - Variable Contribution Plan,32,33,2020 - 2043,0.500% - 2.875%,,
Subtotal,90,93,,,,
Total Investments,"$ 20,071","$ 20,074",,$ 120,,
At September 30, 2019:,Net Investment,Market Value,Maturity Dates,Interest Rates Range,Interest Receivable
"Non-Marketable, Par Value:",Special Issue Securities,"$ 19,318","$ 19,318",2020 - 2028,1.375% - 5.125%,$ 133
Subtotal,"19,318","19,318",,133,,
"Non-Marketable, Market Based:",Israeli Arab Scholarship Fund,5,5,2021 - 2024,2.000% - 2.625%,
Eisenhower Exchange Fellowship Fund,8,4,2020,2.250% - 2.500%,,
Middle Eastern-Western Dialogue Fund,11,11,2020 - 2023,1.375% - 2.625%,,
"Gift Funds, Treasury Bills",22,20,2019 - 2027,1.125% - 2.750%,,
International Center,15,15,2019,0.000%,,
Foreign Service National Defined Contribution Fund - Variable Contribution Plan,23,23,2020 - 2043,1.250% - 2.875%,,
Subtotal,84,78,,,,
Total Investments,"$ 19,402","$ 19,396",$ 133,,,
