Financial Statement Line,Dedicated Collections Combined,All Other Amounts (with Eliminations),Eliminations Between Dedicated and All Other,Amounts,Reclassified Financial Statement Line
Cumulative Results of Operations,"$ 29,938","$ 2,933","$ 27,005",,"$ 76,561,Net Position, Beginning of Period"
"Unexpended Appropriations,Beginning Balances","46,623",,"46,623",,"Net Position, Beginning of Period,76,561,Net Position, Beginning of Period – Adjusted"
"Budgetary Financing Sources,Appropriations Received","33,457",,"33,068","33,068",Appropriations Received as Adjusted
Rescissions and Canceling Funds,(389),,,,Non-Expenditure Transfers-In of Unexpended Appropriations and Financing Sources
Appropriations Transferred in(out),(71),346,38,,Non-Expenditure Transfers-Out of Unexpended Appropriations and Financing Sources
Appropriations Used,"(32,703)",(190),"(32,513)","(32,703)",Appropriations Used (Federal)
"Budgetary Financing Sources,Appropriations Used","32,703",190,"32,513","32,703",Appropriations Expended
Non-exchange Revenue,,,,,",62,Other Taxes and Receipts – Non-Federal Other"
Donations,62,62,,,",62,Donations"
Transfers in(out) without Reimbursement,30,45,(3),45,",45,Transfers in(out) without Reimbursement"
,,,(12),(12),",(12),Expenditure Transfers-Out of Financing Sources"
"Other Financing Sources,Donations",,,,,",61,Other Taxes and Receipts – Non-Federal Other"
Transfers in(out) without Reimbursement,33,61,(28),61,",61,Transfers in(out) without Reimbursement"
Inputed Financing from Costs Absorbed by Others,186,53,151,(18),",186,Imputed Financing Sources"
Non-entity Collections,(536),,(536),(536),",(536),Non-entity Collections"
Net Cost of Operations,"(32,637)","(1,236)","(31,419)",18,",(32,637),Net Cost of Operations"
Net Position,"$ 76,696","$ 2,200","$ 74,496",,"$ 76,696,Net Position – Ending Balance"
