Financial Statement Line,Amounts,Dedicated Collections Combined,All Other Amounts (with Eliminations),Eliminations Between Dedicated and All Other,Reclassified Financial Statement Line
ASSETS,,,,,
"Intragovernmental Assets, Fund Balance with Treasury","$59,653","$ 2,242","$57,411",,"$59,653"
"Intragovernmental Assets, Investments, Net","20,071",46,"20,025",,"20,071"
"Intragovernmental Assets, Interest Receivable","120,120",,120,,120
"Intragovernmental Assets, Accounts Receivable, Net","110,107",,5,,107
"Intragovernmental Assets, Other Assets","1,847",94,"1,839",(86),"1,847"
Total Intragovernmental Assets,"81,801","2,382","79,507",(88),"81,801"
Cash and Other Monetary Assets,241,,241,,241
"Accounts and Loans Receivable, Net",125,1,118 6,,119 6
"Property and Equipment, Net","26,305",116,"26,189",,"26,305"
Other Assets,"1,266",7,"1,238",,"1,245"
Total Non-Federal Assets,"27,937",124,"27,813",,"27,937"
Total Assets,"$109,738","$2,506","$107,320",(88),"$109,738"
LIABILITIES,,,,,
"Intragovernmental Liabilities, Accounts Payable",$151,$49,$102,,
"Intragovernmental Liabilities, Other Liabilities",361,5,21,,
Total Intragovernmental Liabilities,512,75,525,(88),
Accounts Payable,"2,427",128,,,
After-Employment Benefit Liability,"25,899",76,"26,614",,
International Organizations Liability,"2,518",52,,,
Other Liabilities,"1,686",231,"3,077",(2),"3,104"
Total Non-Federal Liabilities,"32,530",,"32,299",,"32,530"
Total Liabilities,"$33,042",$306,"$32,824",(88),"$33,042"
