Liabilities Not Covered by Budgetary Resources,2020,2019
Intragovernmental Liabilities,,
Unfunded FECA Liability,$ 19,$ 19
Total Intragovernmental Liabilities,19,19
International Organizations Liability,"2,259","2,318"
After-Employment Benefit Liability: Foreign Service Retirement Actuarial Liability,"4,977","3,750"
Foreign Service Nationals (FSN):,,
Defined Contributions Fund,273,247
Defined Benefit Plans,19,48
Lump Sum Retirement and Voluntary Severance,593,463
Total After-Employment Benefit Liability,"5,862","4,508"
Accrued Annual Leave,536,418
Environmental Liability,52,54
Capital Lease Liability Contingent Liability,49,64
Other Liabilities,61 222,25 384
Total Liabilities Not Covered by Budgetary Resources,,
Total Liabilities Covered by Budgetary Resources,"9,060","7,790"
,"23,898","24,537"
Total Liabilities Not Requiring Budgetary Resources,84,84
Total Liabilities,"$33,042","$32,411"
