Description,Secretary of State's Register of Culturally Significant Property,National Museum of American Diplomacy,Blair House,International Boundary and Water Commission
Acquisition and Withdrawal,Acquired through purchase. Excess items are sold.,Acquired through donation or transfer. Excess items are transferred.,"Acquired through purchase, donation or transfer. Excess items are transferred or disposed of via public sale.",The monuments were constructed to mark the international boundary. The dam and power plant were constructed by the United States and Mexico pursuant to Water Treaty of 1944.
Condition,Poor to excellent,Good to excellent,Good to excellent,Poor to good
Number of Assets – 9/30/2018,33,"4,884","2,612",140
Acquisitions,4,"1,020",1,
Adjustments,171,,,
Disposals,,1,9,
Number of Assets – 9/30/2019,37,"6,074","2,604",140
Acquisitions,142,,,
Adjustments,,,,1
Disposals,1,,6,
Number of Assets – 9/30/2020,36,"6,216","2,599",140
