Notes,2020,2019
Intragovernmental Assets: Fund Balance with Treasury,"$ 59,653","$ 61,158"
"Intragovernmental Assets: Investments, Net","20,071","19,402"
Intragovernmental Assets: Interest Receivable,120,133
"Intragovernmental Assets: Accounts Receivable, Net",110,148
Intragovernmental Assets: Other Assets,"1,847","1,235"
Total Intragovernmental Assets,"81,801","82,076"
"Intragovernmental Assets: Accounts and Loans Receivable, Net",125,84
Intragovernmental Assets: Cash and Other Monetary Assets,241,226
"Intragovernmental Assets: Property and Equipment, Net","26,305","25,579"
Intragovernmental Assets: Other Assets,"1,266","1,007"
Total Assets,"$ 109,738","$ 108,972"
Stewardship Property and Equipment – Heritage Assets,,
Intragovernmental Liabilities: Accounts Payable,$ 151,$ 160
Intragovernmental Liabilities: Other Liabilities,361,342
Total Intragovernmental Liabilities,512,502
Intragovernmental Liabilities: Accounts Payable,"2,427","2,140"
Intragovernmental Liabilities: After-Employment Benefit Liability,"25,899","24,159"
Intragovernmental Liabilities: International Organizations Liability,"2,518","3,803"
Intragovernmental Liabilities: Other Liabilities,"8,11","1,686,1,807"
Total Liabilities,"33,042","32,411"
Contingencies and Commitments,,
NET POSITION: Unexpended Appropriations – Funds from Dedicated Collections,(190),
NET POSITION: Unexpended Appropriations – Other funds,"47,107","46,623"
NET POSITION: Cumulative Results of Operations – Funds from Dedicated Collections,"2,772","1,968"
NET POSITION: Cumulative Results of Operations – Other Funds,"27,007","27,970"
Total Net Position,"76,696","76,561"
Total Liabilities and Net Position,"$ 109,738","$ 108,972"
