2020 Balance Sheet,2020 Balance Sheet,2020 Government-wide Reclassified Balance Sheet,2020 Government-wide Reclassified Balance Sheet,2020 Government-wide Reclassified Balance Sheet,2020 Government-wide Reclassified Balance Sheet,2020 Government-wide Reclassified Balance Sheet
,,Dedicated Collections Combined,All Other Amounts (with Eliminations,Eliminations Between Dedicated and All Other,,
Financial Statement Line NET POSITION,Amounts,,,,Amounts,Reclassified Financial Statement Line NET POSITION
Unexpended Appropriations - Funds from Dedicated Collections,,83,,(273),(190),Unexpended Appropriations - Funds from Dedicated Collections
Cumulative Results of Operations - Funds from Dedicated Collections,(190),"2,117",,655,,Cumulative Results of Operations - Funds from Dedicated Collections
Unexpended Appropriations - Other Funds,"2,772",,"46,834",273,"2,772",Unexpended Appropriations- Other Funds
Cumulative Results of Operations -,"47,107",,,,"47,107",Cumulative Results of Operations -
Other Funds Total Net Position,"27,007 76,696","2,200","27,662 74,496",（(655）) 1,"27,007",Other Funds
,,,,,"76,696",Total Net Position
Total Liabilities & Net Position,"$109,738","$ 2,506","$107,320",$ (88),"$109,738",Total Liabilities & Net Position
