Financial Statement Line,Amounts,Dedicated Collections Combined,All Other Amounts (with Eliminations),Eliminations Between Dedicated and All Other,Reclassified Financial Statement Line
ASSETS,,,,,
Intragovernmental Assets,Fund Balance with Treasury,$59,653,$2,"242,$57,411,Intragovernmental Assets,Fund Balance with Treasury"
Intragovernmental Assets,Investments, Net,20,071,"46,20,025,Investments,Net"
Intragovernmental Assets,Interest Receivable,120,120,120,Interest Receivable – Investments
Intragovernmental Assets,Accounts Receivable, Net,110,107,"5,Accounts Receivable"
Intragovernmental Assets,Other Assets,1,847,94,"1,839,Other Assets"
Total Intragovernmental Assets,81,801,2,382,"79,507,Total Intragovernmental Assets"
Cash and Other Monetary Assets,241,241,241,Cash and Other Monetary Assets,
Accounts and Loans Receivable, Net,125,1,118,"6,Accounts and Taxes Receivable,Net"
Property and Equipment, Net,26,305,116,"26,189,Property,Plant,and Equipment,Net"
Other Assets,1,266,7,1,"238,Other Assets"
Total Non-Federal Assets,27,937,124,27,"813,Total Non-Federal Assets"
Total Assets,$109,738,$2,506,"$107,320,$(88),Total Assets"
LIABILITIES,,,,,
Intragovernmental Liabilities,Accounts Payable,$151,$49,$102,"Intragovernmental Liabilities,Accounts Payable"
Intragovernmental Liabilities,Other Liabilities,361,5,21,Other Liabilities
Total Intragovernmental Liabilities,512,75,525,Total Intragovernmental Liabilities,
Accounts Payable,2,427,128,2,"556,Accounts Payable"
After-Employment Benefit Liability,25,899,76,26,"614,After-Employment Benefit Liability"
International Organizations Liability,2,518,52,International Organizations Liability,
Other Liabilities,1,686,27,3,"077,Other Liabilities"
Total Non-Federal Liabilities,32,530,231,32,"299,Total Non-Federal Liabilities"
Total Liabilities,$33,042,$306,$32,"824,$(88),Total Liabilities"
