Major Classes,Cost (Overseas -),,Accumulated Depreciation (Overseas -),,Net Value (Overseas -),Cost (Domestic -),,Accumulated Depreciation (Domestic -),,Net Value (Domestic -)
Real Property:,"$ 2,933",,(107),,"$ 2,826","$ 2,868",,(104),,"$ 2,764"
Land and Land Improvements,"5,387",,"(10,639)",,"14,748","4,852",,"(9,871)",,"14,981"
Buildings and Structures,"5,343",,-,,"5,343",200,,-,,200
Construction-in-Progress,144,,(52),,92,171,,(67),,104
Assets Under Capital Lease,684,,(405),,279,662,,-,,262
Leasehold Improvements,330,,(50),,280,330,,(33),,297
Land and Land Improvements,"1,502",,(500),,"1,002",606,,(607),,999
Total – Real Property,"36,893",,"(11,771)",,"25,122","35,274",,"(11,092)",,"24,182"
Personal Property:,-,,-,,-,$ 472,,(387),,85
Aircraft Vehicles,-,,-,,-,963,,(689),,274
Communication Equipment,-,,-,,-,30,,(22),,8
ADP Equipment,-,,-,,-,365,,(272),,93
Reproduction Equipment Security Equipment,-,,-,,-,285,,(178),,107
Internal Use Software,-,,-,,-,405,,-,,405
Software-in-Development,-,,-,,-,396,,(339),,57
Other Equipment,-,,-,,-,446,,(293),,153
Total – Personal Property,"3,369",,"(2,186)",,"1,183","3,370",,"(1,973)",,"1,397"
"Total Property and Equipment, Net","$ 40,262",,"(13,957)",,"$ 26,305","$ 38,644",,"(13,065)",,"$ 25,579"
