Financial Statement Line,Amounts,Dedicated Collections Combined,All Other Amounts (with Eliminations),Eliminations Between Dedicated and All Other,Reclassified Financial Statement Line,Amounts
Cost and Loss on Assumption Changes,$39,392,$1,906,$33,"488,1,056,Non-Federal Costs,$35,394"
Cost and Loss on Assumption Changes,$1,906,34,544,144,"370,Non-Federal Gross Cost,$1,056"
Cost and Loss on Assumption Changes,$53,151,464,186,Intragovernmental Costs,
Cost and Loss on Assumption Changes,$1,105,1,629,2,"054,Benefit Program Costs"
Cost and Loss on Assumption Changes,$40,198,238,Other Expenses (without Reciprocals),,
Cost and Loss on Assumption Changes,$1,342,2,348,748,"Total Non-Federal Costs,$2,942"
Total Costs and Loss on Assumption Changes,39,392,3,248,36,"892,748,Total Reclassified Gross Costs,39,392"
Earned Revenue,6,755,1,990,796,"2,786,Non-Federal Earned Revenue"
Earned Revenue,21,4,042,113,3,"383,Intragovernmental Earned Revenue"
Earned Revenue,1,522,63,Buy/Sell Revenue,,
Earned Revenue,22,4,677,730,Benefit Program Revenue,
Earned Revenue,522,Federal Securities Interest Revenue Including Associated Gains/Losses (Exchange),,,,
Total Earned Revenue,6,755,2,012,5,"473,730,Total Intragovernmental Earned Revenue,3,969"
Total Earned Revenue,6,755,2,012,5,"473,730,Total Reclassified Earned Revenue,6,755"
Net Cost,$32,637,$1,236,$31,"419,$18,Net Cost,$32,637"
