Appropriation / Program(dollars inmillions),Appropriation / Program(dollars inmillions),Prior Year,,,,,2020,2020,2021 Request,,,,,
Appropriation / Program(dollars inmillions),Appropriation / Program(dollars inmillions),Unobligated,,,,,2020,2020,2021 Request,,,,,
Appropriation / Program(dollars inmillions),Appropriation / Program(dollars inmillions),Balances for,,2020,2020,,2020,2020,2021 Request,,,,,
Appropriation / Program(dollars inmillions),Appropriation / Program(dollars inmillions),2020,,Estimate,Estimate,,Supplemental,,2021 Request,,,,,
Appropriation / Program(dollars inmillions),Appropriation / Program(dollars inmillions),Total,Enduring,oCo,oCo,Total,Total,Grand Total,Total,,,,,
,Diplomatic Engagement,"$13,557.3","$15,503.3","$3,697.5","$3,697.5","$19,200.8",$588.0,"$19,788.8","$16,281.8",,,,,
Administration of Foreign Affairs,Administration of Foreign Affairs,"12,428.0","13,088.2","2,612.6","2,612.6","15,700.8",588.0,"16,288.8","14,023.6",,,,,
State Programs,State Programs,"3,859.4","10,376.0",2.376.1,2.376.1,"12,752.1",583.0,"13,335.1","11,819.6",,,,,
"Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan","Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan","2,206.6","6,489.6","2,376.1","2,376.1","8,865.7",309.0,"9,174.7","8,489.9",,,,,
"Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan","Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan",437.0,"5,019.8",1,1,"5,019.8",309.0,"5,328.8","4,794.5",,,,,
"Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan","Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan","1,769.6","1,469.8","2,626.1","2,626.1","4,095.9",1,"4,095.9","3,695.4",,,,,
"Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan","Diplomatic ProgramsOngoing OperationsWorldwide Security ProtectionWorldwide Security Protection (Rescission/transfer of prior year balances)Worldwide Security ProtectionCapital Investment FundConsular and Border Security Programs (FeeFunded,nonappropriated)Embassy Security, Construction,& MaintenanceOngoing OperationsWorldwide Security UpgradesWorldwide Security Upgrades (Rescission of prioryear balances)Other Administration of Foreign AffairsOffice of Inspector GeneralEducational and Cultural Exchange ProgramsRepresentation ExpensesProtection ofForeign Missions and fficialsEmergencies in the Diplomatic andConsular ServiceRepatriation Loans Program AccountPayment to theAmerican Institutein Taiwan",,,,,,,(250.0),1,,,,,
