Budgetary Resources,Diplomatic Programs,Consular and Programs,Border Security,Global Health Programs,,Migration and Refugee Assistance,,Education and Cultural Exchange,,,
Appropriations,$ 588,,$ 1,,$435,,$350,,$,1,"Total $1,373"
"Transfers, net",,(278),273,,,,,,5,,1
Total Budgetary Resources,$310,,$273,,$435,,$350,,5,,$1
Status of Budgetary Resources,,,,,,,,,,,
"New obligations Unobligated,unexpiredaccounts",$,273,$197,,$336,,$350,,5,,"$1,161"
Total Budgetary Resources,$310,37,$273,76,99 $435,,1 $350,,1 5,,"212 $1,373"
"Outlays, Net:",,,,,,,,,,,
"Outlays, net (total)",,$134,$190,,$ 106,,$302,$,3,,$735
"Agency outlays, net",$134,,$190,,$106,,$302,$,3,,735
Net Cost,,,,,,,,,,,$770
