ETS2,E-Government Travel Services,GFACS,Global Foreign Affairs Compensation System
EUR,Bureau of European and Eurasian Affairs (DOS),GFMS,Global Financial Management System
EWC,East-West Center,GOR,Grants Officer Representative
FADR,Foreign Assistance Data Review,GPRA,Government Performance and Results Act
FAM,Foreign Affairs Manual,GSA,U.S. General Services Administration
FAO,Food and Agriculture Organization (UN),GTAS,Government-wide Treasury Account Symbol Adjusted Trial Balance System
FARADS,Foreign Affairs Retirement and Disability System (DOS),GTM,Bureau of Global Talent Management (DOS)
FASAB,Federal Accounting Standards Advisory Board,HCM,Human Capital Management
FAST,First- and Second-Tour,HHS,U.S. Department of Health and Human Services
FCI,Facility Condition Index,HIV,Human Immunodeficiency Virus
FECA,Federal Employees Compensation Act,HR,Human Resources
FEGLIP,Federal Employees Group Life Insurance Program,IAA,Interagency Agreement
FEHBP,Federal Employees Health Benefits Program,IAS,International Accounting Standards
FERS,Federal Employees Retirement System,IBIS,Integrated Budget Intelligence System
FFMIA,Federal Financial Management Improvement Act of 1996,IBWC,International Boundary and Water Commission
FISMA,Federal Information Security Modernization Act,ICAO ICASS,International Civil Aviation Organization (UN) International Cooperative Administrative Support
FMF,of 2014 Foreign Military Financing,,Services (DOS)
FMFIA,Federal Managers'Financial Integrity Act of 1982,ICS,Integrated Country Strategy Bureau of International Narcotics and Law
FMLP,Future Minimum Lease Payments,INL,Enforcement (DOS)
FPU,Fraud Prevention Unit,10,Bureau of International Organization Affairs (DOS
FR,Federal Register,I0&P,International Organizations and Programs
FR,Financial Report of the U.S. Government,IPIA,Improper Payments Information Act of 2002
FRDAA,Fraud Reduction and Data Analytics Act,IPP,Invoice Processing Platform
FRPP,Federal Real Property Portfolio,IRF,Office of International Religious Freedom (DOS)
FS,Foreign Service,IRM,Bureau of Information Resource
FSI,Foreign Service Institute (DOS),,Management (DOS)
FSN,Foreign Service National,ISIS,Islamic State in Iraq and Syria
FSN DCF,Foreign Service National Defined,ISP,Inspection (DOS)
,Contributions Fund,ISSO,Information Systems Security Officer
FSO,Foreign Service Officer,IT,Information Technology
FSRDF,Foreign Service Retirement and Disability Fund,JSP,Joint Strategic Plan
FSRDS,Foreign Service Retirement and Disability System,LE Staff,Locally Employed Staff
FSPS,Foreign Service Pension System,LSSS,Local Social Security System
FWCB,Federal Workers’ Compensation Benefits,M,Under Secretary for Management (DOS)
FY,Fiscal Year,M/SS,Office of Management Strategy and Solutions (DOS)
G20,The Group of Twenty,MCSC,Management Control Steering Committee (DOS)
GAAP,Generally Accepted Accounting Principles,MED,Bureau of Medical Services (DOS)
GAO,Government Accountability Office,,
GEC,Global Engagement Center,MfR,Managing for Results
MRA,Migration and Refugee Assistance,SBR,Statement of Budgetary Resources
NATO,North Atlantic Treaty Organization,SCA,Bureau of South and Central Asian Affairs (DOS)
NEA,Bureau of Near Eastern Affairs (DOS),SID,Software in Development
NEC,New Embassy Compound,SIV,Special Immigrant Visa
NGO,Non-Governmental Organization,SNEA,Special Needs Education Allowance
NIST,National Institute of Standards and Technology,SFFAS,Statements of Federal Financial Accounting
NSS,National Security Strategy,SoA,Standards Statement of Assurance
OAS,Organization of American States,SSAE,Statement on Standards for Attestation
OBO,Bureau of Overseas Buildings Operations (DOS),,Engagements
oco,Overseas Contingency Operations (DOS),T&A,Time and Attendance
OCR OECD,Office of Civil Rights (DOS) Organization for Economic Cooperation,TR,Technical Release
,and Development,Treasury,U.S. Department of the Treasury
OI,Other Information,TSP,Thrift Savings Plan
OIG,Office of Inspector General (DOS),U.S.C.,United States Code
OMB,U.S. Office of Management and Budget,UDO,Undelivered Orders
OPM,U.S. Office of Personnel Management,UDHR,Universal Declaration of Human Rights
OSCE,Organization for Security and Co-operation,UK,United Kingdom
OSI,in Europe Office of Special Investigations,ULO,Unliquidated Obligation
PBO,Projected Benefit Obligation,UN UNEP,United Nations United Nations Environment Programme (UN)
PEPFAR,President's Emergency Plan for AIDS Relief,UNESCO,"United Nations Educational, Scientific and"
PIIA,Payment Integrity Information Act of 2019,,Cultural Organization
PMS,Payment Management System (HHS),UNVIE,U.S.Mission to International Organizations
POSHO,Post Occupational Safety and Health Offcer,,in Vienna
PP&E,"Property, Plant, and Equipment",USAID,U.S.Agency for International Development
PrOPP,Property related Obligation and Payment,USSGL,U.S. Standard General Ledger
RFJ,Rewards for Justice,VAT,Value Added Tax
RFMS,Regional Financial Management System,VCP Web-Tatel,Variable Contribution Plan Web-based Time and Attendance
RFMS/C,Regional Financial Management System/ Cashiering,,Telecommunications Line
RFMS/M,Regional Financial Management System/ Momentum,WebICASS,Web International Cooperative Administrative Support Services
RRS,Retirement Records System,WebRABIT,Web Resource Allocation and Budget Integration Tool
SAMS,State Assistance Management System,WHA,Bureau of Western Hemisphere Affairs (DOS)
SAT,Senior Assessment Team,WMD,Weapons of Mass Destruction
