2020 Statement of Net Cost,2020 Statement of Net Cost,2020 Government-wide Reclassified Statement of Net Cost,2020 Government-wide Reclassified Statement of Net Cost,2020 Government-wide Reclassified Statement of Net Cost,2020 Government-wide Reclassified Statement of Net Cost,
,,Dedicated Collections,All Other Amounts (with,Eliminations Between Dedicated,,
Financial Statement Line Amounts Cost and Loss on,Financial Statement Line Amounts Cost and Loss on,Combined,Eliminations,and All Other,Amounts Reclassified Financial Statement Line Non-Federal Costs,
Assumption Changes,"$39,392","1,906","$33,488",,"$35,394 Non-Federal Gross Cost",
Assumption Changes,"$39,392",,"1,056","1,056",Loss on Changes in Actuarial Assumptions (Non-Federal),
Assumption Changes,"$39,392","1,906","34,544","36,450",Total Non-Federal Costs,
Assumption Changes,"$39,392",,,,Intragovernmental Costs,
Assumption Changes,"$39,392",144,370,(50) 464,Benefit Program Costs,
Assumption Changes,"$39,392",53,151,186,Imputed Costs,
Assumption Changes,"$39,392","1,105","1,629","(18) (680) 2,054",Buy/Sell Costs,
Assumption Changes,"$39,392",40,198,238,Other Expenses (without Reciprocals),
Total Costs and Loss on,"1,342","2,348",（748),"2,942",Total Intragovernmental Costs,
Assumption Changes Earned Revenue,"39,392 3,248 6,755 1,990","36,892 796",（748),"39,392 2,786",Total Reclassified Gross Costs,
,,,,,Non-Federal Earned Revenue Intragovernmental Earned Revenue,
,21,"4,042 113",(680) (50),"3,383 63",Buy/Sell Revenue Benefit Program Revenue,
,,,,,Federal Securities Interest Revenue Including Associated,
,1,522,,523,Gains/Losses (Exchange),
,22,"4,677",(730),"3,969",Total Intragovernmental Earned Revenue,
Total Earned Revenue Net Cost,"6,755","2,012","5,473",（730),"6,755",Total Reclassified Earned Revenue
,"$32,637 $","1,236","$31,419",$ (18),"$32,637",Net Cost
