Intragovernmental,Current,Non-Current,Total,Current,Non-Current,Total
Deferred Revenue,$ 293,,$ 293,$ 277,,$ 277
Custodial Liability,15,,15,8,,8
Other Liabilities,28,25,53,34,23,57
Total Intragovernmental,336,25,361,319,23,342
Federal Employees Compensation Act Benefits,98,,98,91,,91
Capital Lease Liability,10,39,49,12,52,64
Accrued Salaries Payable,229,,229,230,,230
Contingent Liability,,61,61,,25,25
Pension Benefits Payable,67,,67,66,,66
Accrued Annual Leave,,536,536,,418,418
Environmental Liability,,52,52,,54,54
Other Liabilities,480,65,545,731,60,791
Deferred Revenue,49,,49,68,,68
Subtotal,933,753,"1,686","1,198",609,"1,807"
Total Other Liabilities,"$ 1,269",778,"$ 2,047","$ 1,517",632,"$ 2,149"
