Art and design,BA (Hons) International Fashion Business (1 year top up)
MA Fashion,BA (Hons) Creative Direction and
MA Fashion Knitwear,Curation for Fashion NEW
MA Textiles,BSc (Hons) Fashion Business Analytics NEW
MA Fashion and Creative Pattern Cutting,BA (Hons) Design for Film and Television
MA Fashion and Textiles,BA (Hons) Costume Design and
MA International Fashion Management,Construction
MA Fashion Marketing,BA (Hons) Design for Theatre and Live Performance
MA Fashion Communications,BA (Hons) Graphic Design
MA Luxury Fashion Brand Management,BA (Hons) Ilustration
MA Animation,BA (Hons) Animation
MA Graphic Communication,BA (Hons) Filmmaking
MA Illustration,BSc (Hons) Television Production NEW
MA Photography,BSc (Hons) Film Technology NEW
MA Filmmaking NEW,BSc (Hons) Games Design NEW
MFA Fine Art,BA (Hons) Games Art
MA Design: Products and Furniture,NEW BSc (Hons) Visual Effects Technical
MSc Design: Products and Technology,Direction NEW
BA (Hons) Fashion Knitwear Design and Knitted Textiles,BA (Hons) Visual Effects Art NEW
BA (Hons) Textile Design,BA (Hons) Motion Graphics
BA (Hons) Fashion Design,BA (Hons) Photography
BA (Hons) Fashion Pattern Cutting,BA (Hons) Sport Photography NEW
,BA (Hons) Fashion Photography NEW
BSc (Hons) Fashion and Material Technology NEW,BA (Hons) Fine Art
BA (Hons) Fashion Management,BA (Hons) Furniture and Product Design
BA (Hons) Fashion Marketing,BA (Hons) Product Design
and Branding,BSc (Hons) Product Design
BA (Hons) Fashion Communication and Promotion,
