Art and design,BA (Hons) International Fashion Business (1 year top up),,,
MA Fashion,BA (Hons) Creative Direction and Curation for Fashion NEW,,,
MA Fashion Knitwear,,,,
MA Textiles,BSc (Hons) Fashion Business Analytics NEW,,,
MA Fashion and Creative Pattern Cutting,BA (Hons) Design for Film and Television,,,
MA Fashion and Textiles,BA (Hons) Costume Design and Construction,,,
MA International Fashion Management,BA (Hons) Design for Theatre and Live Performance,,,
MA Fashion Marketing,BA (Hons) Graphic Design,,,
MA Fashion Communications,BA (Hons) Illustration,,,
MA Luxury Fashion Brand Management,BA (Hons) Animation,,,
MA Animation,BA (Hons) Filmmaking,,,
MA Graphic Communication,BSc (Hons) Television Production NEW,,,
MA Illustration,BSc (Hons) Film Technology NEW,,,
MA Photography,BSc (Hons) Games Design NEW,,,
MA Filmmaking NEW,BA (Hons) Games Art,,,
MFA Fine Art,NEW BSc (Hons) Visual Effects Technical Direction NEW,,,
MA Design: Products and Furniture,BA (Hons) Visual Effects Art NEW,,,
MSc Design: Products and Technology,BA (Hons) Motion Graphics,,,
BA (Hons) Fashion Knitwear Design and Knitted Textiles,BA (Hons) Photography,,,
BA (Hons) Textile Design,BA (Hons) Sport Photography NEW,,,
BA (Hons) Fashion Design,BA (Hons) Fashion Photography NEW,,,
BA (Hons) Fashion Pattern Cutting,BA (Hons) Fine Art,,,
BSc (Hons) Fashion and Material Technology NEW,BA (Hons) Furniture and Product Design,,,
BA (Hons) Fashion Management,BA (Hons) Product Design,,,
BA (Hons) Fashion Marketing and Branding,BSc (Hons) Product Design,,,
