Name of the Director,Salary and other allowances,Perquisites,Commission,Sitting Fees Board/ Committee Meetings,Total
Mr. R.A. Shah,Nil,Nil,Nil,35000,35000
Mr. K.K. Modi¹,"6,000,000",Nil,"4,000,0000",Nil,"10,000,000"
Mr.S.V. Shanbhag²,"312,000","68,262",Nil,Nil,"380,262"
Mr. Lalit Bhasin,Nil,Nil,Nil,45000,45000
Mr. Anup N. Kothari,Nil,Nil,Nil,45000,45000
Mr. Lalit Kumar Modi³,"600,000","449,512","600,000",Nil,"1,649,512"
Mr. C.M. Maniar,Nil,Nil,Nil,25000,25000
Mr. O.P. Vaish,Nil,Nil,Nil,45000,45000
Mr. Samir Kumar Modi⁴,"672,000","144,508","420,000",Nil,"1,236,508"
Total,"7,584,000","662,282","5,020,000","195,000","13,461,282"
