,,For the year ended 31.3.2003,For the year ended 31.3.2002
A. CASHFLOWS FROM OPERATING ACTIVITIES Net profit before tax,,"5,690.39","7,183.84"
Adjustments for: Depreciation,913.01,,811.28
Interest income from:.,,,
Subsidiary companies,(92.42),,(104.13)
"Debts,eits,,",(165.20),,(167.22)
Dividends from other long term investments,(41.69),,(72.53)
Dividends from other current investments,,,(158.33)
Interest income from other long term investments,(115.50),,(172.39)
Profit on redemption/sale of other long term investments(net),(364.45),,(143.11)
Profit on sale of other current investments (net),(229.67),,(181.69)
,23.61,,0.22
Foreign exchange loss Provision for wealth-tax,11.00,,9.00
Interest-fixed loans,89.94,,89.65 73.51
- others,156.58,,252.39
Bill discounting charges,112.31,,
Fixed assets written off,1.19,,3.38
Loss on sale of fixed assets (net),7.86,,16.76 169.87
Provision for diminution in the value of other long term investments,,,169.75
Loss on other current investments,,306.57,596.41
,,"5,996.96",
Operating profit before working capital changes,,,"7,780.25"
Adjustments for:,,,
Trade and other receivables,"1,282.60",,391.95
Inventories,(300.62),,"2,675.64"
Trade and other payables,"2,716.03",,475.75
,,"3,698.01","3,543.34"
Cash generated from operations,,"9,694.97","11,323.59"
Interest received,93.23,,122.69
Direct taxes paid,"(2,638.89)",,"(2,191.77)"
,,"(2,545.66)","(2,069.08)"
Net cash from operating activities,,"7,149.31","9,254.51"
CASHFLOWS FROM INVESTING ACTIVITIES,"(1,223.44)",,(877.88)
Purchase of fixed assets Proceeds from sale of fixed assets,37.24,,30.28
Purchase of investments,"(66,480.37)",,"(64,456.34)"
Proceeds fromsale of investments,"64,312.40",,"59,647.84"
Dividends from long term other investments,34.53,,77.53
Dividends from other current investments,,,158.33
Interest received from other long term investments,115.50 (209.00),,191.95
Loans and deposits made,155.66,,(429.96)
Interest received,,,130.42
Net cash used in investing activities,,"(3,257.48)","(5,527.83)"
CASH FLOWS FROM FINANCING ACTIVITIES Proceeds from fixed deposits,,,150.85
Repayment of fixed deposits,,,(106.11)
Repayment of long termborrowings,,,(175.66)
Repayment of working capital borrowings,,,"(1,376.97)"
Bill discounting charges paid,,,(222.24)
Interest paid,,,(162.46)
Dividend paid,"(1,907.30)",,"(1,645.27)"
Corporate dividend tax paid,,,(169.71)
Net cash used in financing activities,,"(2,988.60)","(3,707.57)"
NET INCREASE IN CASH AND,,903.23,
CASHEQUIVALENTS Opening cash and cash equivalents,,,19.11
Cashand bankbalances,,757.27,738.33
Closing cash and cash equivalents,,,
Cash and bank balances Effect of exchange rate changes on foreign currency bank balance,"1,636.89 23.61",,757.27
,,"1,660.50",0.17
,,,757.44
Per our report attached,,,
to the balance sheet,L.K. MODI,SAMIR KUMAR MODI,
"For A.F.FERGUSON & CO.,",Executive Director,Executive Director,
Chartered Accountants,,R.A.PODDAR,
,S.V. SHANBHAG,,
,Whole-time Director,,
,Chief Executive,President,
J.M. SETH,,C.M.MANIAR,
Partner,,LALIT BHASIN,
,,O.P. VAISH,
,R.N.AGARWAL,,
,,ANUP N. KOTHARI,
"New Delhi : 11th August, 2003",,Company Secretary,
,,R. JOSHI,Directors
