Name of the Director,Salary and other allowances,Perquisites,Commission,Sitting Fees Board/ Committee Meetings,Total
Mr. R.A. Shah,Nil,Nil,Nil,35000,35000
Mr. K.K. Modi¹,6000000,Nil,40000000,Nil,10000000
Mr.S.V. Shanbhag²,312000,68262,Nil,Nil,380262
Mr. Lalit Bhasin,Nil,Nil,Nil,45000,45000
Mr. Anup N. Kothari,Nil,Nil,Nil,45000,45000
Mr. Lalit Kumar Modi³,600000,449512,600000,Nil,1649512
Mr. C.M. Maniar,Nil,Nil,Nil,25000,25000
Mr. O.P. Vaish,Nil,Nil,Nil,45000,45000
Mr. Samir Kumar Modi⁴,672000,144508,420000,Nil,1236508
Total,7584000,662282,5020000,195000,13461282
