,Schedule Number,,As at 31.3.2003,,Asat 31.3.2002
SOURCES OF FUNDS,,,,,
Shareholders'funds,1,,,,
Share capital,,1039.88,,1039.88,
Reserves and surplus,2,24926.26,25966.14,23129.95,24169.83
Loan funds,3,,,,
Secured,,2336.13,,464.64,
Unsecured,,445.67,,2956.44,
Deferred credits,,526.81,3308.61,608.34,4029.42
TOTAL,,,29274.75,,28199.25
APPLICATION OF FUNDS,,,,,
Fixed assets,4,,,,
Gross block,,12802.91,,11312.26 4578.58,
Less: Depreciation,,5437.67,,,
Net block,,7365.24,,6733.68,
Capital work-in-progress and,,,,,
advances on capital account,,48.24,7413.48,303.74,7037.42
Investments,5,,15635.52,,12873.43
"Current assets,loans and advances",,,,,
Income accrued on investments,,36.04,,28.88,
Inventories,6,10353.81,,10053.19,
Sundry debtors,7,1162.30,,195.76,
Cash and bank balances,8,1636.89,,757.27,
Loans and advances,9,4158.09,,6245.19,
,,17347.13,,17280.29,
Less:,,,,,
Current liabilities and provisions,,,,,
Current liabilities,10,8441.05,,5696.72,
Provisions,11,3477.24,,3073.86,
,,11918.29,,8770.58,
Net current assets Deferred tax (net),,,5428.84 796.91,,8509.71 (221.31)
TOTAL,,,29274.75,,28199.25
Notes to the accounts,,,,,
"Per our report attached For A.F.FERGUSON & CO.,",L.K. MODI Executive Director,SAMIR KUMAR MODI,,R.A. SHAH,
Chartered Accountants,,Executive Director,,Chairman,
,S.V. SHANBHAG,R.A. PODDAR,,K.K. MODI,
,Whole-time Director,Chief Executive,,President,
J.M. SETH,,,,C.M.MANIAR,
Partner,,,,LALIT BHASIN,
,,R. JOSHI,,,
,R.N.AGARWAL,,,,
"New Delhi : 11th August, 2003",Director- Finance,Company Secretary,,ANUP N. KOTHARI,
,,,,O.P.VAISH,
,,,,,Directors
