Schedule Number,For the year ended 31.3.2003,For the year ended 31.3.2002
INCOME,,
Sales,107734.16,94468.90
Other income,13,"1904.75,1533.08"
109638.91,96001.98,
EXPENSES,,
"Raw and packing materials, manufactured and other goods",14,"20284.59,16599.19"
Excise duty,52085.18,47048.97
Manufacturing and other expenses,15,"28395.65,24358.70"
Depreciation,4,"913.01,811.28"
101678.43,88818.14,
Profit before taxation and exceptional item,7960.48,7183.84
Exceptional item (Refer Note 15),2270.09,
Profit before taxation,5690.39,7183.84
Provision for taxation - current,2918.00,2466.00
- deferred tax credit,(1018.22),(61.71)
Profit after taxation,3790.61,4779.55
Profit brought forward from previous year,16233.07,14377.30
Available for appropriation,20023.68,19156.85
APPROPRIATIONS,,
Proposed dividend,1767.80,1923.78
Corporate dividend tax,226.50,
Transferred to general reserve,1100.00,1000.00
Surplus carried to balance sheet,,
16929.38,16233.07,
20023.68,19156.85,
Basic and diluted earnings per share (Face value of share - Rs.10 each),Rs.36.45,Rs.45.96
Notes to the accounts,16,
Per our report attached to the balance sheet,,
"For A.F. FERGUSON & CO., Chartered Accountants",,
L.K. MODI,Executive Director,
SAMIR KUMAR MODI,Executive Director,
R.A. SHAH,Chairman,
S.V. SHANBHAG,Whole-time Director,
R.A. PODDAR,Chief Executive,
K.K. MODI,President,
J.M. SETH,Partner,
R.N. AGARWAL,Director - Finance,
R. JOSHI,Company Secretary,
C.M. MANIAR,LALIT BHASIN O.P. VAISH,"ANUP N. KOTHARI,Directors"
"New Delhi : 11th August, 2003",,
