Method,Feedback,Model Refinement,Application
"Self-Refine (Madaan et al., 2023)",Source,Format,"Strategy,Learning,Iter.,Multiple Tasks"
"Clinical SV (Gero et al., 2023)",Language Model,NL,"Self-Refine,ICL,×,Information Extraction"
"Reflexion (Shinn et al., 2023)",Language Model,NL,"Self-Refine,RL,✓,QA, Code Generation"
"IterRefinement (Chen et al., 2023d)",Language Model,NL,"Self-Refine,ICL,✓,Machine Translation"
"Auto-Post-Editing (Raunak et al., 2023)",Language Model,NL,"Self-Refine,ICL,×,Machine Translation"
"RCI (Kim et al., 2023)",Language Model,NL,"Self-Refine,ICL,✓,Computer Tasks"
"SelFee (Ye et al., 2023)",Language Model,NL,"Self-Refine,SL,✓,Diaglogue"
"SelfCheckGPT (Manakul et al., 2023)",Language Model,NL,"Self-Refine,ICL,×,Hallucination Detection"
"LLM Self Defense (Helbling et al., 2023)",Language Model,NL,"Self-Refine,ICL,×,Harmful Text Correction"
"Re3 (Yang et al., 2022b)",Trained Model,Scalar,"External Feedback,SL & ICL,✓,Story Generation"
"CodeRL (Le et al., 2022)",Trained Model,Scalar,"External Feedback,RL,×,Code Generation"
"FLIRT (Mehrabi et al., 2023)",Trained Model,Scalar,"External Feedback,ICL,✓,Adversarial Prompt Generation"
"REFINER (Paul et al., 2023)",Trained Model,NL,"External Feedback,SL & ICL,✓,Reasoning, Moral Story"
"RL4F (Akyürek et al., 2023)",Trained Model,NL,"External Feedback,SL & RL,✓,Planning, Summarization"
Yan et al. (2023),Trained Model,NL,"External Feedback,SL,✓,Semantic Parsing"
"Baldur (First et al., 2023)",Trained Model,NL,"External Feedback,ICL,✓,Proof Generation"
"CRITIC (Gou et al., 2023)",External Tools,NL,"External Feedback,ICL,✓,QA, Program, Toxicity"
"FacTool (Chern et al., 2023)",External Tools,NL,"External Feedback,ICL,✓,QA, Reasoning, Generation"
"MAF (Nathani et al., 2023)",External Tools,NL,"External Feedback,ICL,✓,QA, Reasoning"
"RARR (Gao et al., 2023b)",External Knowledge,NL,"External Feedback,ICL,×,Open-Domain QA"
"LLM-Augmenter (Peng et al., 2023)",External Knowledge,NL,"External Feedback,RL,×,Open-Domain QA"
"Self-Checker (Li et al., 2023b)",External Knowledge,NL,"External Feedback,ICL,×,Fact-Checking"
"REFEED (Yu et al., 2023)",External Knowledge,NL,"External Feedback,ICL,×,QA, Dialogue"
Olaussson et al. (2023),Program Executor,NL,"External Feedback,ICL,✓,Code Generation"
"Self-Edit (Zhang et al., 2023a)",Program Executor,NL,"External Feedback,ICL,✓,Code Generation"
"Self-Debug (Chen et al., 2023e)",Program Executor,NL,"External Feedback,ICL,✓,Code Generation"
"Self-Evolve (Jiang et al., 2023)",Program Executor,NL,"External Feedback,ICL,✓,Code Generation"
"Logic-LM (Pan et al., 2023)",Symbolic Solver,NL,"External Feedback,ICL,✓,Logical Reasoning"
"Self-Critique (Saunders et al., 2022)",LLMs + Human,NL,"External Feedback,SL,×,Summarization"
"ALGO (Zhang et al., 2023b)",Oracle Verifier,Scalar,"External Feedback,ICL,✓,Code Generation"
Charalambous et al. (2023),BMC Tool,NL,"External Feedback,ICL,×,Software Verification"
"Self-Correction (Welleck et al., 2023)",External Metrics,NL / Scalar,"External Feedback,SL,✓,Reasoning, Generation, Toxicity"
"Multigent Debate (Du et al., 2023)",Language Model,NL,"Model Debate,ICL,✓,Reasoning, Factuality"
"LM vs LM (Cohen et al., 2023)",Language Model,NL,"Model Debate,ICL,✓,Factual Error Detection"
"ICL-AIF (Fu et al., 2023)",Language Model,NL,"Model Debate,ICL,✓,Bargaining Game"
"PRD (Li et al., 2023c)",Language Model,NL,"Model Debate,ICL,✓,Open-ended QA"
"MADRA (Wang et al., 2023b)",Language Model,NL,"Model Debate,ICL,✓,QA, Fact-Checking"
"ReConcile (Chen et al., 2023c)",Language Model,NL,"Model Debate,ICL,✓,Reasoning"
