Method,Feedback,Feedback,Model Refinement,Model Refinement,Model Refinement,Application,
Method,Source,Format,Strategy,Learning,Iter.,Application,
Post-hoc Correction,Post-hoc Correction,Post-hoc Correction,Post-hoc Correction,Post-hoc Correction,Post-hoc Correction,Post-hoc Correction,Post-hoc Correction
"Self-Refine (Madaan et al.,2023)",Language Model,NL,Self-Refine,ICL,√,Multiple Tasks,
"Clinical SV(Gero et al.,2023)",Language Model,NL,Self-Refine,ICL,X,Information Extraction,
"Reflexion (Shinn et al., 2023)",Language Model,NL,Self-Refine,RL,√,"QA, Code Generation",
"IterRefinement (Chen et al., 2023d)",Language Model,NL,Self-Refine,ICL,√,Machine Translation,
"Auto-Post-Editing (Raunak et al., 2023)",Language Model,NL,Self-Refine,ICL,X,Machine Translation,
"RCI(Kim et al.,2023)",Language Model,NL,Self-Refine,ICL,√,Computer Tasks,
"SelFee (Ye et al.,2023)",Language Model,NL,Self-Refine,SL,,Dialogue,
"SelfCheckGPT (Manakul et al., 2023)",Language Model,NL,Self-Refine,ICL,X,Hallucination Detection,
"LLM Self Defense (Helbling et al.,2023)",Language Model,NL,Self-Refine,ICL,X,Harmful Text Correction,
"Re(Yang et al.,2022b)",Trained Model,Scalar,External Feedback,SL & ICL,,Story Generation,
"CodeRL(Le et al.,2022)",Trained Model,Scalar,External Feedback,RL,,Code Generation,
"FLIRT (Mehrabi et al.,2023)",Trained Model,Scalar,External Feedback External Feedback,ICL SL& ICL,,Adversarial Prompt Generation,
"REFINER (Paul et al.,2023)",Trained Model,NL NL,External Feedback,SL&RL,,"Reasoning,Moral Story",
"RL4F(Akyuirek et al., 2023)",TrainedModel,,External Feedback,SL,,"Planning,Summarization",
"Yan et al. (2023) Baldur (First et al., 2023)",Trained Model Trained Model,NL NL,External Feedback,ICL,,Semantic Parsing Proof Generation,
"CRITIC (Gou et al.,2023)",External Tools,NL,External Feedback,,,,
"FacTool (Chern et al., 2023)",External Tools,NL,External Feedback,ICL,,"QA,Program, Toxicity",
,External Tools,NL,External Feedback,ICL ICL,,"QA, Reasoning,Generation",
"MAF (Nathani et al.,2023)",,NL,External Feedback,ICL,,"QA,Reasoning",
"RARR (Gao et al.,2023b)",External Knowledge,NL,External Feedback,,,Open-Domain QA,
"LLM-Augmenter (Peng et al.,2023)",External Knowledge,NL,External Feedback,RL,,Open-Domain QA,
"Self-Checker (Li et al.,2023b)",External Knowledge,,External Feedback,ICL ICL,,Fact-Checking,
"REFEED (Yu et al., 2023) Olausson et al. (2023)",External Knowledge,NL NL,External Feedback,ICL,,"QA,Dialogue",
"Self-Edit (Zhang et al.,2023a)",Program Executor,NL,External Feedback,ICL,,Code Generation,
,Program Executor,NL,External Feedback,,,Code Generation,
"Self-Debug (Chen et al.,2023e)",Program Executor,,External Feedback,ICL,,Code Generation,
"Self-Evolve (Jiang et al.,2023)",Program Executor,NL,,ICL,,Code Generation,
"Logic-LM (Pan et al.,2023)",Symbolic Solver,NL,External Feedback,ICL,,Logical Reasoning,
"Self-Critique (Saunders et al.,2022)",LLMs + Human,NL,External Feedback,SL,,Summarization,
"ALGO (Zhang et al.,2023b)",Oracle Verifier,Scalar,External Feedback,ICL,,Code Generation,
Charalambous et al. (2023),BMC Tool,NL,External Feedback,ICL,,Software Verification,
"Self-Correction (Welleck et al.,2023)",External Metrics,NL/Scalar,External Feedback,SL,,"Reasoning,Generation,Toxicity",
"Multiagent Debate (Du et al., 2023)",Language Model,NL,Model Debate,ICL,,"Reasoning,Factuality",
"LM vs LM(Cohen et al., 2023)",Language Model,NL,Model Debate,ICL,,Factual Error Detection,
"ICL-AIF (Fu et al.,2023)",Language Model,NL,Model Debate,ICL,,Bargaining Game,
"PRD (Li et al., 2023c)",Language Model,NL,Model Debate,ICL,,Open-ended QA,
"MADRA (Wang et al.,2023b) ReConcile (Chen et al.,2023c)",Language Model Language Model,NL NL,Model Debate Model Debate,ICL ICL,,"QA,Fact-Checking Reasoning",
