DEPARTMENT / PROGRAMME,AREA OF STUDY,COURSEWORK,RESEARCH
Chinese Studies,Chinese Studies,,
Communications and New Media,Communications and New Media,,
Comparative Asian Studies,* Comparative Asian Studies,,
Cultural Studies in Asia,* Cultural Studies in Asia,,
Economics,Economics,,
English Language and Literature,English Language and Linguistics,English Language and Linguistics,
English Language and Literature,English Literature,,
English Language and Literature,Theatre and Performance Studies,Theatre and Performance Studies,
Geography,Geography,,
History,History,,
Japanese Studies,Japanese Studies,,
Malay Studies,Malay Studies,,
Philosophy,Philosophy,,
Political Science,Political Science,,
Psychology,Psychology,,
Social Work,Social Work,,
Sociology,Sociology,,
Sociology,* Anthropology,*,
Southeast Asian Studies,Southeast Asian Studies,,
South Asian Studies,South Asian Studies,,
