DEPARTMENT / PROGRAMME,AREA OF STUDY,COURSEWORK,RESEARCH
Chinese Studies,Chinese Studies,Chinese Studies,Chinese Studies
Communications and New Media,Communications and New Media,Communications and New Media,Communications and New Media
Comparative Asian Studies,* Comparative Asian Studies,* Comparative Asian Studies,* Comparative Asian Studies
Cultural Studies in Asia,* Cultural Studies in Asia,* Cultural Studies in Asia,* Cultural Studies in Asia
Economics,Economics,Economics,Economics
English Language and Literature,English Language and Linguistics,English Language and Linguistics,English Language and Linguistics
English Language and Literature,English Literature,English Literature,English Literature
English Language and Literature,Theatre and Performance Studies,Theatre and Performance Studies,Theatre and Performance Studies
Geography,Geography,Geography,Geography
History,History,History,History
Japanese Studies,Japanese Studies,Japanese Studies,Japanese Studies
Malay Studies,Malay Studies,Malay Studies,Malay Studies
Philosophy,Philosophy,Philosophy,Philosophy
Political Science,Political Science,Political Science,Political Science
Psychology,Psychology,Psychology,Psychology
Social Work,Social Work,Social Work,Social Work
Sociology,Sociology,Sociology,Sociology
Sociology,* Anthropology,* Anthropology,* Anthropology
Southeast Asian Studies,Southeast Asian Studies,Southeast Asian Studies,Southeast Asian Studies
South Asian Studies,South Asian Studies,South Asian Studies,South Asian Studies
