COURSEWORK PROGRAMME,APPLICATION PERIOD
Master of Economics,1August (intheyear preceding the intake)to15thJanuary (in the same year as theintake)
Master of Social Sciences (Communication),1stSeptember (intheyear preceding the intake) to31stOctober (in the year preceding the intake)
Masterof Arts (Artsand Cultural Entrepreneurship),1sSeptember(inthe yearpreceding theintake)to30thNovember(intheyear preceding the intake)
Masterof Arts(Appliedand Public History),1stNovember(inthe year preceding the intake)to15th January (inthesame yearas theintake)
Master of Arts(Asianand Global History),1stNovember(inthe year preceding the intake)to15th January (inthesame yearas theintake)
Master of Arts (Chinese Culture and Language),1stNovember(inthe year preceding the intake)to15th January (inthesame yearas theintake)
Masterof Arts (English Languageand Linguistics),1stNovember(inthe year preceding the intake)to15th January (inthesame yearas theintake)
Master of Arts(LiteraryStudies),1stNovember(inthe year preceding the intake)to15th January (inthesame yearas theintake)
Masterof Arts (SoutheastAsianStudies),1stNovember(inthe year preceding the intake)to15th January (inthesame yearas theintake)
Master of Psychology (Clinical),1stNovember(inthe year preceding the intake)to15th January (inthesame yearas theintake)
Masterof Social Work,1stNovember(inthe year preceding the intake)to15th January (inthesame yearas theintake)
Graduate Diploma inAppliedand Public History,1stNovember(inthe year preceding the intake)to15th January (inthesame yearas theintake)
Graduate Diploma in Asianand Global History,1stNovember(inthe year preceding the intake)to15th January (inthesame yearas theintake)
Graduate Diploma inSocial Work,1stNovember(inthe year preceding the intake)to15th January (inthesame yearas theintake)
Master of Science (Applied Geographic InformationSystems),1stNovember (in the year preceding the intake)to1stMarch(inthe sameyear as the intake)
