DEPARTMENT/PROGRAMME,AREA OF STUDY,COURSEWORK,RESEARCH
Chinese Studies,Chinese Studies,,
Communications and New Media,Communications and New Media,,
Comparative Asian Studies,*Comparative Asian Studies,,
Cultural Studies in Asia,*Cultural Studies in Asia,,
Economics,Economics,,
English Language and Literature,English Language and LinguisticsTheatre and Performance Studies,,
,English Language and LinguisticsTheatre and Performance Studies,,
Geography,Geography,,
History,History,,
Japanese Studies,JapaneseStudies,C,
Malay Studies,Malay Studies,O,
Philosophy,Philosophy,,
Political Science,Political Science,,
Psychology,Psychology,,
Social Work,Social Work,,
Sociology,Sociology,。,
,*Anthropology,,
Southeast Asian Studies,Southeast Asian Studies,,
South Asian Studies,South Asian Studies,,
