COURSEWORK PROGRAMME,APPLICATION PERIOD
Master of Economics,1st August (in the year preceding the intake) to 15th January (in the same year as the intake)
Master of Social Sciences (Communication),1st September (in the year preceding the intake) to 31st October (in the year preceding the intake)
Master of Arts (Arts and Cultural Entrepreneurship),1st September (in the year preceding the intake) to 30th November (in the year preceding the intake)
Master of Arts (Applied and Public History),1st November (in the year preceding the intake) to 15th January (in the same year as the intake)
Master of Arts (Asian and Global History),1st November (in the year preceding the intake) to 15th January (in the same year as the intake)
Master of Arts (Chinese Culture and Language),1st November (in the year preceding the intake) to 15th January (in the same year as the intake)
Master of Arts (English Language and Linguistics),1st November (in the year preceding the intake) to 15th January (in the same year as the intake)
Master of Arts (Literary Studies),1st November (in the year preceding the intake) to 15th January (in the same year as the intake)
Master of Arts (Southeast Asian Studies),1st November (in the year preceding the intake) to 15th January (in the same year as the intake)
Master of Psychology (Clinical),1st November (in the year preceding the intake) to 15th January (in the same year as the intake)
Master of Social Work,1st November (in the year preceding the intake) to 15th January (in the same year as the intake)
Graduate Diploma in Applied and Public History,1st November (in the year preceding the intake) to 15th January (in the same year as the intake)
Graduate Diploma in Asian and Global History,1st November (in the year preceding the intake) to 15th January (in the same year as the intake)
Graduate Diploma in Social Work,1st November (in the year preceding the intake) to 15th January (in the same year as the intake)
Master of Science (Applied Geographic Information Systems),1st November (in the year preceding the intake) to 1st March (in the same year as the intake)
